Id,Label,date_of_episode
A5135,tom lehrer,"April 25, 1980"
A5319,walter murphy,"April 25, 1980"
A5418,wolfgang amadeus mozart,"April 25, 1980"
A873,christoph willibald gluck,"May 2, 1980"
A1618,franz schubert,"May 2, 1980"
A1649,fritz kreisler,"May 2, 1980"
A1815,giuseppe verdi,"May 2, 1980"
A2430,johannes brahms,"May 2, 1980"
A3665,pablo de sarasate,"May 2, 1980"
A91,alan price,"May 9, 1980"
A338,baccholian singers of london,"May 9, 1980"
A459,bertolt brecht,"May 9, 1980"
A2427,johann sebastian bach,"May 9, 1980"
A2718,kingsway marching band and chorus,"May 9, 1980"
A2805,leeds parish church choir,"May 9, 1980"
A3932,pyotr ilyich tchaikovsky,"May 9, 1980"
A4697,the band,"May 9, 1980"
A564,bob dylan,"May 16, 1980"
A832,children s choir,"May 16, 1980"
A1205,don mclean,"May 16, 1980"
A1618,franz schubert,"May 16, 1980"
A2478,john lennon,"May 16, 1980"
A3004,ludwig van beethoven,"May 16, 1980"
A4000,red army ensemble,"May 16, 1980"
A4697,the band,"May 16, 1980"
A297,arthur sullivan,"May 23, 1980"
A1326,edward elgar,"May 23, 1980"
A3962,ralph vaughan williams,"May 23, 1980"
A4110,robert shaw chorale,"May 23, 1980"
A4202,royal marines band portsmouth,"May 23, 1980"
A5235,valerie hobson,"May 23, 1980"
A5337,webster booth,"May 23, 1980"
A5424,worcester cathedral choir,"May 23, 1980"
A1428,entrance of the gods into valhalla from das rheingold,"June 6, 1980"
A1618,franz schubert,"June 6, 1980"
A1815,giuseppe verdi,"June 6, 1980"
A2427,johann sebastian bach,"June 6, 1980"
A2572,joseph haydn,"June 6, 1980"
A3004,ludwig van beethoven,"June 6, 1980"
A3280,michael tippett,"June 6, 1980"
A5418,wolfgang amadeus mozart,"June 6, 1980"
A904,claude debussy,"June 13, 1980"
A1727,george gershwin,"June 13, 1980"
A2427,johann sebastian bach,"June 13, 1980"
A2430,johannes brahms,"June 13, 1980"
A2862,leslie hutch hutchinson,"June 13, 1980"
A3053,make believe,"June 13, 1980"
A3962,ralph vaughan williams,"June 13, 1980"
A4058,richard wagner,"June 13, 1980"
A110,alessandro scarlatti,"June 20, 1980"
A506,billie holiday,"June 20, 1980"
A2616,julie covington,"June 20, 1980"
A3046,maggie teyte,"June 20, 1980"
A3102,maria callas,"June 20, 1980"
A4054,richard strauss,"June 20, 1980"
A5027,the supremes,"June 20, 1980"
A5418,wolfgang amadeus mozart,"June 20, 1980"
A1618,franz schubert,"June 27, 1980"
A2430,johannes brahms,"June 27, 1980"
A2791,layton johnstone,"June 27, 1980"
A3004,ludwig van beethoven,"June 27, 1980"
A4058,richard wagner,"June 27, 1980"
A4108,robert schumann,"June 27, 1980"
A4474,sophie tucker,"June 27, 1980"
A5418,wolfgang amadeus mozart,"June 27, 1980"
A42,acker bilk,"July 4, 1980"
A55,adrian brett,"July 4, 1980"
A97,albert ketelbey,"July 4, 1980"
A3076,mantovani,"July 4, 1980"
A4609,sweet talking rag,"July 4, 1980"
A5051,the victor silvester orchestra,"July 4, 1980"
A5203,turner layton,"July 4, 1980"
A5378,will you remember,"July 4, 1980"
A532,bismillah khan,"July 11, 1980"
A1164,dinah shore,"July 11, 1980"
A1898,gustav mahler,"July 11, 1980"
A2427,johann sebastian bach,"July 11, 1980"
A2761,lale andersen,"July 11, 1980"
A3004,ludwig van beethoven,"July 11, 1980"
A3932,pyotr ilyich tchaikovsky,"July 11, 1980"
A5230,ustad ali akbar khan shankar gohosh,"July 11, 1980"
A297,arthur sullivan,"July 18, 1980"
A364,barbara cook,"July 18, 1980"
A1831,glynis johns,"July 18, 1980"
A3554,noel coward,"July 18, 1980"
A3971,randy newman,"July 18, 1980"
A4054,richard strauss,"July 18, 1980"
A4087,robert alda,"July 18, 1980"
A5394,william ovis,"July 18, 1980"
A74,al green,"July 25, 1980"
A918,clifford smith,"July 25, 1980"
A947,commodores,"July 25, 1980"
A1982,heatwave,"July 25, 1980"
A2271,james taylor,"July 25, 1980"
A3168,marvin gaye,"July 25, 1980"
A4131,rod stewart,"July 25, 1980"
A5214,unchained melody,"July 25, 1980"
A792,charles francois gounod,"August 1, 1980"
A1312,edith piaf,"August 1, 1980"
A1637,frédéric chopin,"August 1, 1980"
A1727,george gershwin,"August 1, 1980"
A2791,layton johnstone,"August 1, 1980"
A3126,mario de pietro,"August 1, 1980"
A3331,miriam makeba,"August 1, 1980"
A5060,the whiffenpoof song,"August 1, 1980"
A1262,duke ellington,"August 8, 1980"
A1599,frank sinatra,"August 8, 1980"
A1637,frédéric chopin,"August 8, 1980"
A1790,giacomo puccini,"August 8, 1980"
A1815,giuseppe verdi,"August 8, 1980"
A3004,ludwig van beethoven,"August 8, 1980"
A5418,wolfgang amadeus mozart,"August 8, 1980"
A1618,franz schubert,"August 15, 1980"
A2014,henry purcell,"August 15, 1980"
A2427,johann sebastian bach,"August 15, 1980"
A2430,johannes brahms,"August 15, 1980"
A2715,king s college chapel choir,"August 15, 1980"
A4925,the mouse problem,"August 15, 1980"
A5418,wolfgang amadeus mozart,"August 15, 1980"
A2132,igor stravinsky,"August 22, 1980"
A2181,isao sato sab shimono,"August 22, 1980"
A2430,johannes brahms,"August 22, 1980"
A2789,lawrence winters,"August 22, 1980"
A2807,len cariou,"August 22, 1980"
A3201,maurice ravel,"August 22, 1980"
A3280,michael tippett,"August 22, 1980"
A297,arthur sullivan,"August 29, 1980"
A357,band of hm royal marines,"August 29, 1980"
A1169,dionne warwick,"August 29, 1980"
A1368,ella fitzgerald,"August 29, 1980"
A1725,george frideric handel,"August 29, 1980"
A3348,modest mussorgsky,"August 29, 1980"
A3932,pyotr ilyich tchaikovsky,"August 29, 1980"
A4705,the beatles,"August 29, 1980"
A324,aureliano pertile,"September 5, 1980"
A1637,frédéric chopin,"September 5, 1980"
A1790,giacomo puccini,"September 5, 1980"
A4016,renata scotto,"September 5, 1980"
A4058,richard wagner,"September 5, 1980"
A4108,robert schumann,"September 5, 1980"
A4705,the beatles,"September 5, 1980"
A73,al bowlly,"September 12, 1980"
A2830,leonard bernstein,"September 12, 1980"
A3004,ludwig van beethoven,"September 12, 1980"
A3146,marlene dietrich,"September 12, 1980"
A3554,noel coward,"September 12, 1980"
A3932,pyotr ilyich tchaikovsky,"September 12, 1980"
A4121,roberto inglez his orchestra,"September 12, 1980"
A4827,the fron male voice choir,"September 12, 1980"
A1515,felix mendelssohn,"September 19, 1980"
A1618,franz schubert,"September 19, 1980"
A2430,johannes brahms,"September 19, 1980"
A2572,joseph haydn,"September 19, 1980"
A3004,ludwig van beethoven,"September 19, 1980"
A3280,michael tippett,"September 19, 1980"
A5397,william shakespeare,"September 19, 1980"
A5418,wolfgang amadeus mozart,"September 19, 1980"
A1275,dylan thomas,"September 26, 1980"
A2248,jacques offenbach,"September 26, 1980"
A2427,johann sebastian bach,"September 26, 1980"
A3004,ludwig van beethoven,"September 26, 1980"
A3299,mike nichols and elaine may,"September 26, 1980"
A3348,modest mussorgsky,"September 26, 1980"
A4054,richard strauss,"September 26, 1980"
A375,barbra streisand,"October 3, 1980"
A795,charles marie widor,"October 3, 1980"
A1275,dylan thomas,"October 3, 1980"
A1599,frank sinatra,"October 3, 1980"
A1790,giacomo puccini,"October 3, 1980"
A3962,ralph vaughan williams,"October 3, 1980"
A4054,richard strauss,"October 3, 1980"
A4058,richard wagner,"October 3, 1980"
A438,benjamin britten,"October 10, 1980"
A845,"choir of st john’s college, cambridge","October 10, 1980"
A904,claude debussy,"October 10, 1980"
A1325,edvard grieg,"October 10, 1980"
A1637,frédéric chopin,"October 10, 1980"
A1657,gabriel faure,"October 10, 1980"
A1965,harry secombe,"October 10, 1980"
A2429,johann strauss ii,"October 10, 1980"
A1618,franz schubert,"October 17, 1980"
A1815,giuseppe verdi,"October 17, 1980"
A1983,hector berlioz,"October 17, 1980"
A2572,joseph haydn,"October 17, 1980"
A3280,michael tippett,"October 17, 1980"
A4058,richard wagner,"October 17, 1980"
A4108,robert schumann,"October 17, 1980"
A5418,wolfgang amadeus mozart,"October 17, 1980"
A564,bob dylan,"October 24, 1980"
A1312,edith piaf,"October 24, 1980"
A1725,george frideric handel,"October 24, 1980"
A2427,johann sebastian bach,"October 24, 1980"
A2507,john tams,"October 24, 1980"
A3445,nat king cole,"October 24, 1980"
A4336,sergei prokofiev,"October 24, 1980"
A4527,steeleye span,"October 24, 1980"
A30,aaron copland,"October 31, 1980"
A1618,franz schubert,"October 31, 1980"
A2427,johann sebastian bach,"October 31, 1980"
A2430,johannes brahms,"October 31, 1980"
A3004,ludwig van beethoven,"October 31, 1980"
A3932,pyotr ilyich tchaikovsky,"October 31, 1980"
A4299,scherzo in b flat minor op 31,"October 31, 1980"
A5418,wolfgang amadeus mozart,"October 31, 1980"
A755,carroll gibbons,"November 7, 1980"
A904,claude debussy,"November 7, 1980"
A1011,cyril smith,"November 7, 1980"
A1325,edvard grieg,"November 7, 1980"
A1790,giacomo puccini,"November 7, 1980"
A2572,joseph haydn,"November 7, 1980"
A2923,lizbeth webb,"November 7, 1980"
A4337,sergey rachmaninov,"November 7, 1980"
A248,antonin dvorak,"November 14, 1980"
A1618,franz schubert,"November 14, 1980"
A1622,fred astaire,"November 14, 1980"
A1815,giuseppe verdi,"November 14, 1980"
A4054,richard strauss,"November 14, 1980"
A4775,the clerkes of oxenford,"November 14, 1980"
A5362,wie klug wie gut,"November 14, 1980"
A5418,wolfgang amadeus mozart,"November 14, 1980"
A1326,edward elgar,"November 21, 1980"
A1594,frank loesser,"November 21, 1980"
A1725,george frideric handel,"November 21, 1980"
A2205,j b priestley,"November 21, 1980"
A3004,ludwig van beethoven,"November 21, 1980"
A3831,peter sellers,"November 21, 1980"
A5418,wolfgang amadeus mozart,"November 21, 1980"
A437,beniamino gigli,"November 28, 1980"
A888,cilla black,"November 28, 1980"
A1326,edward elgar,"November 28, 1980"
A1725,george frideric handel,"November 28, 1980"
A1815,giuseppe verdi,"November 28, 1980"
A2427,johann sebastian bach,"November 28, 1980"
A3669,paco aguilera antonio gonzalez,"November 28, 1980"
A5418,wolfgang amadeus mozart,"November 28, 1980"
A204,andy fairweather low,"December 5, 1980"
A515,billy joel,"December 5, 1980"
A598,boney m,"December 5, 1980"
A1326,edward elgar,"December 5, 1980"
A1599,frank sinatra,"December 5, 1980"
A2170,iris williams,"December 5, 1980"
A2346,jigsaw,"December 5, 1980"
A3445,nat king cole,"December 5, 1980"
A1790,giacomo puccini,"December 12, 1980"
A1804,gioachino rossini,"December 12, 1980"
A1815,giuseppe verdi,"December 12, 1980"
A1898,gustav mahler,"December 12, 1980"
A4220,ruggero leoncavallo,"December 12, 1980"
A5284,vincenzo bellini,"December 12, 1980"
A5418,wolfgang amadeus mozart,"December 12, 1980"
A278,arnold schoenberg,"December 19, 1980"
A1326,edward elgar,"December 19, 1980"
A1515,felix mendelssohn,"December 19, 1980"
A1983,hector berlioz,"December 19, 1980"
A3201,maurice ravel,"December 19, 1980"
A4108,robert schumann,"December 19, 1980"
A4330,selwyn college chapel choir,"December 19, 1980"
A5401,william walton,"December 19, 1980"
A1325,edvard grieg,"December 26, 1980"
A2218,jack hylton his orchestra,"December 26, 1980"
A3344,mixture of pop music he would be glad to leave behind,"December 26, 1980"
A3932,pyotr ilyich tchaikovsky,"December 26, 1980"
A4331,semprini,"December 26, 1980"
A4517,stanley holloway,"December 26, 1980"
A4705,the beatles,"December 26, 1980"
A5076,there is nothin like a dame,"December 26, 1980"
A1420,enrico caruso,"January 2, 1981"
A1790,giacomo puccini,"January 2, 1981"
A1815,giuseppe verdi,"January 2, 1981"
A3004,ludwig van beethoven,"January 2, 1981"
A3613,orchestra of camara de madrid,"January 2, 1981"
A3666,pablo pau casals,"January 2, 1981"
A375,barbra streisand,"January 9, 1981"
A384,barry gray,"January 9, 1981"
A1217,donna summer,"January 9, 1981"
A1390,elton john,"January 9, 1981"
A1510,fats waller,"January 9, 1981"
A2132,igor stravinsky,"January 9, 1981"
A4719,the bolshoi,"January 9, 1981"
A4950,the pips,"January 9, 1981"
A255,antonio vivaldi,"January 16, 1981"
A506,billie holiday,"January 16, 1981"
A2376,jimmy yancey,"January 16, 1981"
A2427,johann sebastian bach,"January 16, 1981"
A3106,maria ion,"January 16, 1981"
A3526,nino ricardo,"January 16, 1981"
A4113,robert veyron lacroix,"January 16, 1981"
A4288,sarah makem,"January 16, 1981"
A357,band of hm royal marines,"January 23, 1981"
A728,carl ravazza,"January 23, 1981"
A1361,elizabeth bainbridge,"January 23, 1981"
A2430,johannes brahms,"January 23, 1981"
A3776,pendyrus male choir,"January 23, 1981"
A3932,pyotr ilyich tchaikovsky,"January 23, 1981"
A4658,tennessee ernie ford,"January 23, 1981"
A4949,the pipes drums 1st battalion royal highland fusiliers,"January 23, 1981"
A1749,georges bizet,"January 30, 1981"
A2304,jean sibelius,"January 30, 1981"
A2525,johnny green,"January 30, 1981"
A3004,ludwig van beethoven,"January 30, 1981"
A3831,peter sellers,"January 30, 1981"
A4409,simon garfunkel,"January 30, 1981"
A4430,sir laurence olivier,"January 30, 1981"
A5401,william walton,"January 30, 1981"
A1390,elton john,"February 6, 1981"
A2715,king s college chapel choir,"February 6, 1981"
A2977,louis armstrong,"February 6, 1981"
A3004,ludwig van beethoven,"February 6, 1981"
A3031,mac davis,"February 6, 1981"
A3456,national theatre plays,"February 6, 1981"
A3554,noel coward,"February 6, 1981"
A4705,the beatles,"February 6, 1981"
A726,carl orff,"February 13, 1981"
A1025,dan hill,"February 13, 1981"
A1725,george frideric handel,"February 13, 1981"
A1898,gustav mahler,"February 13, 1981"
A2014,henry purcell,"February 13, 1981"
A2383,joan baez,"February 13, 1981"
A2427,johann sebastian bach,"February 13, 1981"
A3454,national symphony orchestra,"February 13, 1981"
A1599,frank sinatra,"February 20, 1981"
A1965,harry secombe,"February 20, 1981"
A2429,johann strauss ii,"February 20, 1981"
A3199,maurice jarre,"February 20, 1981"
A3205,max boyce,"February 20, 1981"
A4230,russ hamilton,"February 20, 1981"
A4991,the scots guards,"February 20, 1981"
A5420,wooden heart,"February 20, 1981"
A248,antonin dvorak,"February 27, 1981"
A255,antonio vivaldi,"February 27, 1981"
A908,claudio monteverdi,"February 27, 1981"
A1312,edith piaf,"February 27, 1981"
A2427,johann sebastian bach,"February 27, 1981"
A2572,joseph haydn,"February 27, 1981"
A3004,ludwig van beethoven,"February 27, 1981"
A3104,maria farandouri georg kapernaros,"February 27, 1981"
A166,ambrose and his orchestra,"March 6, 1981"
A255,antonio vivaldi,"March 6, 1981"
A1181,dmitry shostakovich,"March 6, 1981"
A1662,gaetano donizetti,"March 6, 1981"
A1983,hector berlioz,"March 6, 1981"
A3872,pink floyd,"March 6, 1981"
A3932,pyotr ilyich tchaikovsky,"March 6, 1981"
A5144,tomaso albinoni remo giazotto,"March 6, 1981"
A1460,erroll garner,"March 13, 1981"
A1599,frank sinatra,"March 13, 1981"
A1618,franz schubert,"March 13, 1981"
A2304,jean sibelius,"March 13, 1981"
A3004,ludwig van beethoven,"March 13, 1981"
A3201,maurice ravel,"March 13, 1981"
A3932,pyotr ilyich tchaikovsky,"March 13, 1981"
A5418,wolfgang amadeus mozart,"March 13, 1981"
A385,barry humphries,"March 20, 1981"
A444,benny goodman,"March 20, 1981"
A1120,denis quilley,"March 20, 1981"
A1262,duke ellington,"March 20, 1981"
A1349,elaine stritch,"March 20, 1981"
A1510,fats waller,"March 20, 1981"
A1725,george frideric handel,"March 20, 1981"
A5418,wolfgang amadeus mozart,"March 20, 1981"
A699,cambridge university musical society,"March 27, 1981"
A1724,george formby,"March 27, 1981"
A1745,george robey violet loraine,"March 27, 1981"
A1983,hector berlioz,"March 27, 1981"
A2715,king s college chapel choir,"March 27, 1981"
A3744,paul phoenix,"March 27, 1981"
A4336,sergei prokofiev,"March 27, 1981"
A5401,william walton,"March 27, 1981"
A702,camille saint saens,"April 3, 1981"
A725,carl nielsen,"April 3, 1981"
A1180,dmitri kabalevsky,"April 3, 1981"
A1790,giacomo puccini,"April 3, 1981"
A2132,igor stravinsky,"April 3, 1981"
A3206,max bruch,"April 3, 1981"
A4058,richard wagner,"April 3, 1981"
A4336,sergei prokofiev,"April 3, 1981"
A1394,elvis presley,"April 10, 1981"
A1677,gary glitter,"April 10, 1981"
A1824,glenn miller,"April 10, 1981"
A2478,john lennon,"April 10, 1981"
A2692,kenneth horne kenneth williams,"April 10, 1981"
A3004,ludwig van beethoven,"April 10, 1981"
A3146,marlene dietrich,"April 10, 1981"
A3977,ray charles,"April 10, 1981"
A268,archie mactaggart carmeron mackichan,"April 17, 1981"
A2572,joseph haydn,"April 17, 1981"
A2761,lale andersen,"April 17, 1981"
A3004,ludwig van beethoven,"April 17, 1981"
A3932,pyotr ilyich tchaikovsky,"April 17, 1981"
A4316,scott russell,"April 17, 1981"
A4948,the pipes and drums of the black watch,"April 17, 1981"
A5418,wolfgang amadeus mozart,"April 17, 1981"
A264,aram khachaturian,"April 24, 1981"
A447,berceuse in d flat major op 57,"April 24, 1981"
A1205,don mclean,"April 24, 1981"
A1599,frank sinatra,"April 24, 1981"
A1622,fred astaire,"April 24, 1981"
A2427,johann sebastian bach,"April 24, 1981"
A2572,joseph haydn,"April 24, 1981"
A5397,william shakespeare,"April 24, 1981"
A1,–§—ë–¥–æ—Ä –®–∞–ª—è–ø–∏–Ω,"May 1, 1981"
A1599,frank sinatra,"May 1, 1981"
A2821,leo litwin,"May 1, 1981"
A2857,les trois cloches,"May 1, 1981"
A3004,ludwig van beethoven,"May 1, 1981"
A3515,nicolo paganini,"May 1, 1981"
A3932,pyotr ilyich tchaikovsky,"May 1, 1981"
A4705,the beatles,"May 1, 1981"
A779,cesar franck,"May 8, 1981"
A1312,edith piaf,"May 8, 1981"
A1326,edward elgar,"May 8, 1981"
A1448,erik satie,"May 8, 1981"
A1576,francis poulenc,"May 8, 1981"
A1616,franz liszt,"May 8, 1981"
A1618,franz schubert,"May 8, 1981"
A5418,wolfgang amadeus mozart,"May 8, 1981"
A444,benny goodman,"May 15, 1981"
A974,count basie,"May 15, 1981"
A1368,ella fitzgerald,"May 15, 1981"
A1599,frank sinatra,"May 15, 1981"
A1727,george gershwin,"May 15, 1981"
A3958,ralph brewster singers,"May 15, 1981"
A3983,ray noble,"May 15, 1981"
A5158,tony bennett,"May 15, 1981"
A1639,frederick delius,"May 22, 1981"
A1657,gabriel faure,"May 22, 1981"
A1898,gustav mahler,"May 22, 1981"
A2014,henry purcell,"May 22, 1981"
A2427,johann sebastian bach,"May 22, 1981"
A2430,johannes brahms,"May 22, 1981"
A5381,william blake,"May 22, 1981"
A5418,wolfgang amadeus mozart,"May 22, 1981"
A434,benedictine monks of the abbey of st maurice st maur clervaux,"May 29, 1981"
A908,claudio monteverdi,"May 29, 1981"
A1618,franz schubert,"May 29, 1981"
A1657,gabriel faure,"May 29, 1981"
A2132,igor stravinsky,"May 29, 1981"
A4752,the chieftains,"May 29, 1981"
A5094,thomas tallis,"May 29, 1981"
A5385,william byrd,"May 29, 1981"
A525,billy williams,"June 5, 1981"
A1442,eric shilling ann dowdall,"June 5, 1981"
A1618,franz schubert,"June 5, 1981"
A1815,giuseppe verdi,"June 5, 1981"
A2248,jacques offenbach,"June 5, 1981"
A2427,johann sebastian bach,"June 5, 1981"
A2429,johann strauss ii,"June 5, 1981"
A5418,wolfgang amadeus mozart,"June 5, 1981"
A526,bing crosby,"June 12, 1981"
A1536,flanagan and allen,"June 12, 1981"
A1749,georges bizet,"June 12, 1981"
A1818,glasgow orpheus choir,"June 12, 1981"
A2373,jimmy shand,"June 12, 1981"
A2429,johann strauss ii,"June 12, 1981"
A3658,owen brannigan,"June 12, 1981"
A4991,the scots guards,"June 12, 1981"
A1601,frank watlington,"June 19, 1981"
A2304,jean sibelius,"June 19, 1981"
A2704,kenyan national anthem,"June 19, 1981"
A3199,maurice jarre,"June 19, 1981"
A3781,people of lamu kenya,"June 19, 1981"
A4479,south pacific,"June 19, 1981"
A5418,wolfgang amadeus mozart,"June 19, 1981"
A255,antonio vivaldi,"June 26, 1981"
A375,barbra streisand,"June 26, 1981"
A1812,giuseppe di stefano,"June 26, 1981"
A1815,giuseppe verdi,"June 26, 1981"
A1898,gustav mahler,"June 26, 1981"
A3445,nat king cole,"June 26, 1981"
A5284,vincenzo bellini,"June 26, 1981"
A5297,vladimir horowitz,"June 26, 1981"
A325,aurelio fierro,"July 3, 1981"
A1312,edith piaf,"July 3, 1981"
A1790,giacomo puccini,"July 3, 1981"
A1831,glynis johns,"July 3, 1981"
A3155,marti webb,"July 3, 1981"
A3206,max bruch,"July 3, 1981"
A4096,robert goulet,"July 3, 1981"
A5418,wolfgang amadeus mozart,"July 3, 1981"
A165,ambroise thomas,"July 10, 1981"
A1412,emperor waltz,"July 10, 1981"
A1790,giacomo puccini,"July 10, 1981"
A1829,gloria swanson,"July 10, 1981"
A3232,mel torme,"July 10, 1981"
A3484,new orleans,"July 10, 1981"
A3751,paul whiteman his orchestra,"July 10, 1981"
A1144,diana ross,"July 17, 1981"
A3156,martin best,"July 17, 1981"
A3234,melissa manchester,"July 17, 1981"
A3280,michael tippett,"July 17, 1981"
A3443,narrator,"July 17, 1981"
A4336,sergei prokofiev,"July 17, 1981"
A5401,william walton,"July 17, 1981"
A1181,dmitry shostakovich,"July 24, 1981"
A1843,goro yamaguchi,"July 24, 1981"
A2425,johann pachelbel,"July 24, 1981"
A2427,johann sebastian bach,"July 24, 1981"
A4181,roy buchanan,"July 24, 1981"
A5238,valya balkanska,"July 24, 1981"
A5246,vangelis,"July 24, 1981"
A387,barry manilow,"July 31, 1981"
A577,bob newhart,"July 31, 1981"
A1599,frank sinatra,"July 31, 1981"
A1790,giacomo puccini,"July 31, 1981"
A1815,giuseppe verdi,"July 31, 1981"
A2902,liona boyd,"July 31, 1981"
A3824,peter o toole,"July 31, 1981"
A5135,tom lehrer,"July 31, 1981"
A438,benjamin britten,"August 7, 1981"
A592,bobby vee,"August 7, 1981"
A1181,dmitry shostakovich,"August 7, 1981"
A1326,edward elgar,"August 7, 1981"
