Unique Identifier,episode_ref,track_name,date,date_text,decade,castaway_ref,std_name,std_artist,std_artist_id
9862,1234,Là ci darem la mano (from Don Giovanni) by Wolfgang Amadeus Mozart,3/9/1990,"March 9,1990",90,2576,sir ian trethowan,wolfgang amadeus mozart,A5418
9854,1233,"Parigi, O cara (from La traviata) by Giuseppe Verdi",3/16/1990,"March 16,1990",90,2193,professor sir george porter,giuseppe verdi,A1815
9850,1233,Piano Concerto No. 5 in E flat major 'Emperor' by Ludwig van Beethoven,3/16/1990,"March 16,1990",90,2193,professor sir george porter,ludwig van beethoven,A3004
9852,1233,Symphony No. 9 in D minor 'Choral' - Ode to Joy by Ludwig van Beethoven,3/16/1990,"March 16,1990",90,2193,professor sir george porter,ludwig van beethoven,A3004
9844,1232,E il sol dell'anima (from Rigoletto) by Giuseppe Verdi,3/23/1990,"March 23,1990",90,2293,richard rogers,giuseppe verdi,A1815
9841,1232,Piano Concerto No. 24 in C minor - 2nd movement by Wolfgang Amadeus Mozart,3/23/1990,"March 23,1990",90,2293,richard rogers,wolfgang amadeus mozart,A5418
9839,1231,Symphony No. 6 in F major 'Pastoral' by Ludwig van Beethoven,3/30/1990,"March 30,1990",90,2407,rt hon john biffen mp,ludwig van beethoven,A3004
9837,1231,Clarinet Quintet in A major by Wolfgang Amadeus Mozart,3/30/1990,"March 30,1990",90,2407,rt hon john biffen mp,wolfgang amadeus mozart,A5418
10015,1253,Concerto for Two Violins in D minor by Johann Sebastian Bach,4/6/1990,"April 6,1990",90,1203,jack lemmon,johann sebastian bach,A2427
10017,1254,"Impromptu in G flat major, D899 No. 3 by Franz Schubert",4/13/1990,"April 13,1990",90,1690,lucinda lambton,franz schubert,A1618
10021,1254,Mir ist so wunderbar (from Fidelio) by Ludwig van Beethoven,4/13/1990,"April 13,1990",90,1690,lucinda lambton,ludwig van beethoven,A3004
9826,1230,Piano Concerto No. 5 in E flat major 'Emperor' by Ludwig van Beethoven,4/20/1990,"April 20,1990",90,2542,sir crispin tickell,ludwig van beethoven,A3004
9818,1229,Brandenburg Concerto No. 6 in B flat major by Johann Sebastian Bach,4/27/1990,"April 27,1990",90,1803,mary wesley,johann sebastian bach,A2427
9824,1229,Concerto for Two Violins in D minor by Johann Sebastian Bach,4/27/1990,"April 27,1990",90,1803,mary wesley,johann sebastian bach,A2427
9817,1229,Symphony No. 7 in A major - 4th movement by Ludwig van Beethoven,4/27/1990,"April 27,1990",90,1803,mary wesley,ludwig van beethoven,A3004
9821,1229,Horn Concerto No. 4 In E flat major by Wolfgang Amadeus Mozart,4/27/1990,"April 27,1990",90,1803,mary wesley,wolfgang amadeus mozart,A5418
9815,1228,Nessun dorma by Giacomo Puccini,5/4/1990,"May 4,1990",90,1496,june whitfield,giacomo puccini,A1790
9808,1227,Symphony No. 6 in F major 'Pastoral' by Ludwig van Beethoven,5/11/1990,"May 11,1990",90,2199,prue leith,ludwig van beethoven,A3004
9801,1227,Horn Concerto No. 4 In E flat major by Wolfgang Amadeus Mozart,5/11/1990,"May 11,1990",90,2199,prue leith,wolfgang amadeus mozart,A5418
9790,1225,String Quintet in C major by Franz Schubert,5/25/1990,"May 25,1990",90,1440,jonathan pryce,franz schubert,A1618
9767,1222,Violin Concerto in B Minor by Edward Elgar,6/22/1990,"June 22,1990",90,1069,harold fielding,edward elgar,A1326
9762,1222,Partita for Solo Violin No. 3 in E major - 3rd movement by Johann Sebastian Bach,6/22/1990,"June 22,1990",90,1069,harold fielding,johann sebastian bach,A2427
9763,1222,Il mio tesoro (from Don Giovanni) by Wolfgang Amadeus Mozart,6/22/1990,"June 22,1990",90,1069,harold fielding,wolfgang amadeus mozart,A5418
9753,1221,Violin Concerto in D major by Ludwig van Beethoven,6/29/1990,"June 29,1990",90,967,george carman qc,ludwig van beethoven,A3004
9756,1221,Romeo and Juliet Fantasy Overture by Peter Ilyich Tchaikovsky,6/29/1990,"June 29,1990",90,967,george carman qc,pyotr ilyich tchaikovsky,A3932
9739,1219,Tre sbirri (Te Deum) (from Tosca) by Giacomo Puccini,7/13/1990,"July 13,1990",90,2104,peter jonas,giacomo puccini,A1790
9738,1219,English Suite No. 2 in A minor - Prelude by Johann Sebastian Bach,7/13/1990,"July 13,1990",90,2104,peter jonas,johann sebastian bach,A2427
9733,1218,Vissi d'arte (from Tosca) by Giacomo Puccini,7/20/1990,"July 20,1990",90,1280,jean rook,giacomo puccini,A1790
10085,1262,Intermezzo (from Manon Lescaut) by Giacomo Puccini,7/22/1990,"July 22,1990",90,1326,joan collins,giacomo puccini,A1790
10087,1262,O mio babbino caro (from Gianni Schicchi) by Giacomo Puccini,7/22/1990,"July 22,1990",90,1326,joan collins,giacomo puccini,A1790
10041,1257,Senza mamma (from Suor Angelica) by Giacomo Puccini,7/29/1990,"July 29,1990",90,840,eric clapton,giacomo puccini,A1790
10133,1268,"None but the lonely heart, Op. 6/6 by Peter Ilyich Tchaikovsky",8/12/1990,"August 12,1990",90,2773,thora hird,pyotr ilyich tchaikovsky,A3932
10135,1268,Piano Concerto No. 21 in C major by Wolfgang Amadeus Mozart,8/12/1990,"August 12,1990",90,2773,thora hird,wolfgang amadeus mozart,A5418
9975,1248,Piano Quintet in A major 'Trout' by Franz Schubert,8/26/1990,"August 26,1990",90,2475,seamus heaney,franz schubert,A1618
9969,1248,"String Quartet No. 13 in B flat major, Op. 130 by Ludwig van Beethoven",8/26/1990,"August 26,1990",90,2475,seamus heaney,ludwig van beethoven,A3004
9723,1217,Pomp & Circumstance March No. 1 in D major 'Land of Hope and Glory' by Edward Elgar,9/7/1990,"September 7,1990",90,2338,robin knox johnston,edward elgar,A1326
9726,1217,Celeste Aida (from Aida) by Giuseppe Verdi,9/7/1990,"September 7,1990",90,2338,robin knox johnston,giuseppe verdi,A1815
9721,1217,Symphony No. 6 in F major 'Pastoral' by Ludwig van Beethoven,9/7/1990,"September 7,1990",90,2338,robin knox johnston,ludwig van beethoven,A3004
9709,1215,Symphony No. 8 in B minor 'Unfinished' by Franz Schubert,9/21/1990,"September 21,1990",90,751,dr ruth westheimer,franz schubert,A1618
9707,1215,Symphony No. 9 in D minor 'Choral' by Ludwig van Beethoven,9/21/1990,"September 21,1990",90,751,dr ruth westheimer,ludwig van beethoven,A3004
9705,1215,Serenade No. 13 in G major 'Eine kleine Nachtmusik' by Wolfgang Amadeus Mozart,9/21/1990,"September 21,1990",90,751,dr ruth westheimer,wolfgang amadeus mozart,A5418
9710,1215,Der Vogelfänger bin ich ja (from The Magic Flute) by Wolfgang Amadeus Mozart,9/21/1990,"September 21,1990",90,751,dr ruth westheimer,wolfgang amadeus mozart,A5418
9704,1214,Pomp & Circumstance March No. 1 in D major 'Land of Hope and Glory' by Edward Elgar,9/28/1990,"September 28,1990",90,221,barbara windsor,edward elgar,A1326
9698,1214,Für Elise by Ludwig van Beethoven,9/28/1990,"September 28,1990",90,221,barbara windsor,ludwig van beethoven,A3004
9672,1210,String Quintet No. 4 in G minor by Wolfgang Amadeus Mozart,11/2/1990,"November 2,1990",90,1940,nicholas snowman,wolfgang amadeus mozart,A5418
9652,1208,Symphony No. 3 in E flat major 'Eroica' by Ludwig van Beethoven,11/16/1990,"November 16,1990",90,2391,rt hon barbara castle,ludwig van beethoven,A3004
9632,1205,The Magic Flute by Wolfgang Amadeus Mozart,12/7/1990,"December 7,1990",90,2550,sir eduardo paolozzi,wolfgang amadeus mozart,A5418
9942,1244,Cello Concerto in E minor - 3rd movement by Edward Elgar,12/21/1990,"December 21,1990",90,1129,hrh the duchess of kent,edward elgar,A1326
9941,1244,Che gelida manina (Your tiny hand is frozen) (from La Bohème) by Giacomo Puccini,12/21/1990,"December 21,1990",90,1129,hrh the duchess of kent,giacomo puccini,A1790
9940,1244,Concerto for Two Violins in D minor by Johann Sebastian Bach,12/21/1990,"December 21,1990",90,1129,hrh the duchess of kent,johann sebastian bach,A2427
9938,1244,Symphony No. 6 in B minor 'Pathétique' - 2nd movement by Peter Ilyich Tchaikovsky,12/21/1990,"December 21,1990",90,1129,hrh the duchess of kent,pyotr ilyich tchaikovsky,A3932
9937,1244,"Keyboard Sonata No. 6 in D major, K284 by Wolfgang Amadeus Mozart",12/21/1990,"December 21,1990",90,1129,hrh the duchess of kent,wolfgang amadeus mozart,A5418
9944,1244,Ave verum corpus by Wolfgang Amadeus Mozart,12/21/1990,"December 21,1990",90,1129,hrh the duchess of kent,wolfgang amadeus mozart,A5418
9608,1202,Pomp & Circumstance March No. 1 in D major 'Land of Hope and Glory' by Edward Elgar,1/11/1991,"January 11,1991",90,1649,lord goodman,edward elgar,A1326
9601,1202,Act 3 Duet (from La Bohème) by Giacomo Puccini,1/11/1991,"January 11,1991",90,1649,lord goodman,giacomo puccini,A1790
9603,1202,Il trovatore by Giuseppe Verdi,1/11/1991,"January 11,1991",90,1649,lord goodman,giuseppe verdi,A1815
9607,1202,Aria (from La traviata) by Giuseppe Verdi,1/11/1991,"January 11,1991",90,1649,lord goodman,giuseppe verdi,A1815
9606,1202,"O, namen, Namenlose Freude! (from Fidelio) by Ludwig van Beethoven",1/11/1991,"January 11,1991",90,1649,lord goodman,ludwig van beethoven,A3004
9604,1202,Eugene Onegin by Pyotr Ilyich Tchaikovsky,1/11/1991,"January 11,1991",90,1649,lord goodman,pyotr ilyich tchaikovsky,A3932
9592,1200,Magnificat in D major by Johann Sebastian Bach,1/25/1991,"January 25,1991",90,925,fred zinnemann,johann sebastian bach,A2427
9586,1200,Symphony No. 9 in D minor 'Choral' - Ode to Joy by Ludwig van Beethoven,1/25/1991,"January 25,1991",90,925,fred zinnemann,ludwig van beethoven,A3004
9585,1200,Sinfonia Concertante in E flat major - 1st movement by Wolfgang Amadeus Mozart,1/25/1991,"January 25,1991",90,925,fred zinnemann,wolfgang amadeus mozart,A5418
9567,1197,Sea Pictures - Sabbath morning at sea by Edward Elgar,2/15/1991,"February 15,1991",90,2010,paddy ashdown mp,edward elgar,A1326
9561,1197,String Quintet in C major - 2nd movement by Franz Schubert,2/15/1991,"February 15,1991",90,2010,paddy ashdown mp,franz schubert,A1618
9565,1197,Che gelida manina (Your tiny hand is frozen) (from La Bohème) by Giacomo Puccini,2/15/1991,"February 15,1991",90,2010,paddy ashdown mp,giacomo puccini,A1790
9550,1195,"Si, pel ciel (Oath duet) (from Otello) by Giuseppe Verdi",3/1/1991,"March 1,1991",90,2359,ronald eyre,giuseppe verdi,A1815
9547,1195,"Soll ich dich, Teurer (from The Magic Flute) by Wolfgang Amadeus Mozart",3/1/1991,"March 1,1991",90,2359,ronald eyre,wolfgang amadeus mozart,A5418
9552,1195,Sinfonia Concertante in E flat major by Wolfgang Amadeus Mozart,3/1/1991,"March 1,1991",90,2359,ronald eyre,wolfgang amadeus mozart,A5418
9540,1194,English Suite No. 2 in A minor - 5th movement by Johann Sebastian Bach,3/8/1991,"March 8,1991",90,2545,sir denis forman,johann sebastian bach,A2427
9538,1194,Piano Concerto No. 21 in C major by Wolfgang Amadeus Mozart,3/8/1991,"March 8,1991",90,2545,sir denis forman,wolfgang amadeus mozart,A5418
9542,1194,Soave sia il vento (from Cosi fan tutte) by Wolfgang Amadeus Mozart,3/8/1991,"March 8,1991",90,2545,sir denis forman,wolfgang amadeus mozart,A5418
9533,1193,Enigma Variations - EDU by Edward Elgar,3/15/1991,"March 15,1991",90,1287,jeffrey bernard,edward elgar,A1326
9535,1193,String Quartet in E Flat Major (Beginning) by Ludwig van Beethoven,3/15/1991,"March 15,1991",90,1287,jeffrey bernard,ludwig van beethoven,A3004
9529,1193,Requiem in D minor - Introitus by Wolfgang Amadeus Mozart,3/15/1991,"March 15,1991",90,1287,jeffrey bernard,wolfgang amadeus mozart,A5418
9532,1193,Piano Concerto No. 23 in A major by Wolfgang Amadeus Mozart,3/15/1991,"March 15,1991",90,1287,jeffrey bernard,wolfgang amadeus mozart,A5418
9526,1192,"Variations on an Original Theme, Op. 36: Variation IX ""Nimrod"" by Edward Elgar",3/22/1991,"March 22,1991",90,2659,sir trevor holdsworth,edward elgar,A1326
9528,1192,Fortunato l'uom che prende (finale) (from Cosi fan tutte) by Wolfgang Amadeus Mozart,3/22/1991,"March 22,1991",90,2659,sir trevor holdsworth,wolfgang amadeus mozart,A5418
9715,1216,Piano Trio No. 1 in B flat major - 2nd movement by Franz Schubert,4/5/1991,"April 5,1991",90,1637,lord charteris,franz schubert,A1618
9720,1216,Piano Concerto No. 5 in E flat major 'Emperor' by Ludwig van Beethoven,4/5/1991,"April 5,1991",90,1637,lord charteris,ludwig van beethoven,A3004
9500,1189,"Va, pensiero, sull'ali dorate (Chorus of the Hebrew Slaves) (from Nabucco) by Giuseppe Verdi",4/19/1991,"April 19,1991",90,1655,lord king,giuseppe verdi,A1815
9491,1188,"String Quartet No. 14 in C sharp minor, Op. 131 - 1st movement by Ludwig van Beethoven",4/26/1991,"April 26,1991",90,741,dr jonathan sacks,ludwig van beethoven,A3004
9485,1187,Cello Concerto in E Minor by Edward Elgar,5/3/1991,"May 3,1991",90,554,dame shirley porter,edward elgar,A1326
9481,1187,Vissi d'arte (from Tosca) by Giacomo Puccini,5/3/1991,"May 3,1991",90,554,dame shirley porter,giacomo puccini,A1790
9488,1187,Symphony No. 9 in D minor 'Choral' - Ode to Joy by Ludwig van Beethoven,5/3/1991,"May 3,1991",90,554,dame shirley porter,ludwig van beethoven,A3004
9473,1186,The Light of Life by Edward Elgar,5/17/1991,"May 17,1991",90,406,cecil lewis,edward elgar,A1326
9480,1186,Liturgy of St John Chrysostom - The Lord's Prayer by Pyotr Ilyich Tchaikovsky,5/17/1991,"May 17,1991",90,406,cecil lewis,pyotr ilyich tchaikovsky,A3932
9472,1185,Symphony No. 9 in D minor 'Choral' by Ludwig van Beethoven,5/24/1991,"May 24,1991",90,1414,john simpson,ludwig van beethoven,A3004
9460,1184,Prisoners' Chorus (from Fidelio) by Ludwig van Beethoven,5/31/1991,"May 31,1991",90,2408,rt hon john smith,ludwig van beethoven,A3004
9464,1184,The Marriage Of Figaro - Final Aria by Wolfgang Amadeus Mozart,5/31/1991,"May 31,1991",90,2408,rt hon john smith,wolfgang amadeus mozart,A5418
9413,1178,Nessun dorma by Giacomo Puccini,7/12/1991,"July 12,1991",90,1669,lord shawcross,giacomo puccini,A1790
9415,1178,Sono andati? (from La Bohème) by Giacomo Puccini,7/12/1991,"July 12,1991",90,1669,lord shawcross,giacomo puccini,A1790
9410,1178,Agnus Dei (from Requiem Mass) by Giuseppe Verdi,7/12/1991,"July 12,1991",90,1669,lord shawcross,giuseppe verdi,A1815
9412,1178,"Piano Sonata No. 14 in C sharp minor, Op.27/2 'Moonlight' by Ludwig van Beethoven",7/12/1991,"July 12,1991",90,1669,lord shawcross,ludwig van beethoven,A3004
9683,1212,Cello Concerto in E minor - 1st movement by Edward Elgar,7/14/1991,"July 14,1991",90,1421,john thaw,edward elgar,A1326
9684,1212,String Quintet in C major - 2nd movement by Franz Schubert,7/14/1991,"July 14,1991",90,1421,john thaw,franz schubert,A1618
9682,1212,In questa Reggia (from Turandot) by Giacomo Puccini,7/14/1991,"July 14,1991",90,1421,john thaw,giacomo puccini,A1790
9688,1212,St Matthew Passion - Erbarme dich by Johann Sebastian Bach,7/14/1991,"July 14,1991",90,1421,john thaw,johann sebastian bach,A2427
9686,1212,The Magic Flute Overture by Wolfgang Amadeus Mozart,7/14/1991,"July 14,1991",90,1421,john thaw,wolfgang amadeus mozart,A5418
9662,1209,Act 2 Duet (from Don Carlos) by Giuseppe Verdi,7/21/1991,"July 21,1991",90,1630,lord annan,giuseppe verdi,A1815
9664,1209,Symphony No. 7 in A major - 4th movement by Ludwig van Beethoven,7/21/1991,"July 21,1991",90,1630,lord annan,ludwig van beethoven,A3004
9661,1209,Swan Lake - Act 4 (finale) by Pyotr Ilyich Tchaikovsky,7/21/1991,"July 21,1991",90,1630,lord annan,pyotr ilyich tchaikovsky,A3932
9658,1209,Piano Concerto No 27 Second Movement by Wolfgang Amadeus Mozart,7/21/1991,"July 21,1991",90,1630,lord annan,wolfgang amadeus mozart,A5418
9639,1206,Trio (from La traviata) by Giuseppe Verdi,8/4/1991,"August 4,1991",90,233,baroness trumpington,giuseppe verdi,A1815
9393,1176,Symphony No. 1 in A flat major - 3rd movement by Edward Elgar,9/6/1991,"September 6,1991",90,1825,maxwell hutchinson,edward elgar,A1326
9392,1175,String Quintet in C major - 2nd movement by Franz Schubert,9/13/1991,"September 13,1991",90,272,bernice rubens,franz schubert,A1618
9389,1175,Partita for Solo Violin No. 3 in E major - 3rd movement by Johann Sebastian Bach,9/13/1991,"September 13,1991",90,272,bernice rubens,johann sebastian bach,A2427
9390,1175,Mi tradi quell'alma (from Don Giovanni) by Wolfgang Amadeus Mozart,9/13/1991,"September 13,1991",90,272,bernice rubens,wolfgang amadeus mozart,A5418
9381,1174,"Impromptu in E flat major, D899 No. 2 by Franz Schubert",9/20/1991,"September 20,1991",90,1350,john banham,franz schubert,A1618
9382,1174,Concerto for Two Violins in D minor by Johann Sebastian Bach,9/20/1991,"September 20,1991",90,1350,john banham,johann sebastian bach,A2427
9376,1173,Falstaff Act 3 (finale) by Giuseppe Verdi,9/27/1991,"September 27,1991",90,1546,klaus tennstedt,giuseppe verdi,A1815
9369,1173,Symphony No. 6 in F major 'Pastoral' - 1st movement by Ludwig van Beethoven,9/27/1991,"September 27,1991",90,1546,klaus tennstedt,ludwig van beethoven,A3004
9370,1173,Symphony No. 6 in B minor 'Pathétique' by Pyotr Ilyich Tchaikovsky,9/27/1991,"September 27,1991",90,1546,klaus tennstedt,pyotr ilyich tchaikovsky,A3932
9347,1170,"Otello Act 1, Scene 3 by Giuseppe Verdi",10/18/1991,"October 18,1991",90,1412,john schlesinger,giuseppe verdi,A1815
9351,1170,Piano Concerto No. 18 in B flat major by Wolfgang Amadeus Mozart,10/18/1991,"October 18,1991",90,1412,john schlesinger,wolfgang amadeus mozart,A5418
9337,1169,Partita for Keyboard No. 1 in B flat major by Johann Sebastian Bach,10/25/1991,"October 25,1991",90,817,elizabeth esteve coll,johann sebastian bach,A2427
9341,1169,Cantata No. 78: Jesu der du meine Seele by Johann Sebastian Bach,10/25/1991,"October 25,1991",90,817,elizabeth esteve coll,johann sebastian bach,A2427
9343,1169,"Piano Sonata No. 31 in A flat major, Op. 110 by Ludwig van Beethoven",10/25/1991,"October 25,1991",90,817,elizabeth esteve coll,ludwig van beethoven,A3004
9329,1168,English Suite No. 5 in E minor - Prelude by Johann Sebastian Bach,11/1/1991,"November 1,1991",90,26,alan alda,johann sebastian bach,A2427
9334,1168,Harpsichord Concerto No. 5 In F Minor by Johann Sebastian Bach,11/1/1991,"November 1,1991",90,26,alan alda,johann sebastian bach,A2427
9335,1168,Symphony No. 4 In B Flat Major by Ludwig van Beethoven,11/1/1991,"November 1,1991",90,26,alan alda,ludwig van beethoven,A3004
9332,1168,Clarinet Quintet in A major by Wolfgang Amadeus Mozart,11/1/1991,"November 1,1991",90,26,alan alda,wolfgang amadeus mozart,A5418
9325,1167,Prisoners' Chorus (from Fidelio) by Ludwig van Beethoven,11/8/1991,"November 8,1991",90,767,e p thompson,ludwig van beethoven,A3004
9327,1167,Keyboard Trio No. 2 In E flat major 'Kegelstatt' by Wolfgang Amadeus Mozart,11/8/1991,"November 8,1991",90,767,e p thompson,wolfgang amadeus mozart,A5418
9318,1166,Vissi d'arte (from Tosca) by Giacomo Puccini,11/15/1991,"November 15,1991",90,1644,lord delfont,giacomo puccini,A1790
9285,1162,Violin Concerto in D major by Pyotr Ilyich Tchaikovsky,12/13/1991,"December 13,1991",90,2717,sue townsend,pyotr ilyich tchaikovsky,A3932
9553,1196,Sleeping Beauty - Introduction by Pyotr Ilyich Tchaikovsky,12/20/1991,"December 20,1991",90,550,dame ninette de valois,pyotr ilyich tchaikovsky,A3932
9554,1196,Swan Lake - Act 4 (finale) by Pyotr Ilyich Tchaikovsky,12/20/1991,"December 20,1991",90,550,dame ninette de valois,pyotr ilyich tchaikovsky,A3932
9560,1196,Nutcracker Suite by Pyotr Ilyich Tchaikovsky,12/20/1991,"December 20,1991",90,550,dame ninette de valois,pyotr ilyich tchaikovsky,A3932
9437,1181,Dies irae (from Requiem Mass) by Giuseppe Verdi,1/10/1992,"January 10,1992",90,7,a s byatt,giuseppe verdi,A1815
9434,1181,Clarinet Concerto in A major by Wolfgang Amadeus Mozart,1/10/1992,"January 10,1992",90,7,a s byatt,wolfgang amadeus mozart,A5418
9268,1160,Suite for Solo Cello No. 1 in G Major - 1st movement by Johann Sebastian Bach,1/17/1992,"January 17,1992",90,2703,steven berkoff,johann sebastian bach,A2427
9260,1159,Figlia! a tal nome io palpito (from Simon Boccanegra) by Giuseppe Verdi,1/24/1992,"January 24,1992",90,2254,reverend david jenkins,giuseppe verdi,A1815
9258,1159,"Exsultate, jubilate by Wolfgang Amadeus Mozart",1/24/1992,"January 24,1992",90,2254,reverend david jenkins,wolfgang amadeus mozart,A5418
9255,1158,Pomp & Circumstance March by Edward Elgar,1/31/1992,"January 31,1992",90,1391,john major,edward elgar,A1326
9233,1156,Sheep may safely graze (from Cantata No. 208) by Johann Sebastian Bach,2/14/1992,"February 14,1992",90,2308,robbie coltrane,johann sebastian bach,A2427
9226,1155,Franchigia a Floria Tosca  (from Tosca) by Giacomo Puccini,2/21/1992,"February 21,1992",90,2638,sir roger bannister,giacomo puccini,A1790
9225,1155,Violin Concerto in D major by Ludwig van Beethoven,2/21/1992,"February 21,1992",90,2638,sir roger bannister,ludwig van beethoven,A3004
9222,1154,"Piano Sonata No. 21 in B flat major, D960 -1st movement by Franz Schubert",2/28/1992,"February 28,1992",90,829,elvis costello,franz schubert,A1618
9217,1154,"String Quartet No. 16 in F major, Op. 135 - 2nd movement by Ludwig van Beethoven",2/28/1992,"February 28,1992",90,829,elvis costello,ludwig van beethoven,A3004
9220,1154,Non so più cosa son (from The Marriage of Figaro) by Wolfgang Amadeus Mozart,2/28/1992,"February 28,1992",90,829,elvis costello,wolfgang amadeus mozart,A5418
9184,1149,"Der Einsame, D800 by Franz Schubert",4/10/1992,"April 10,1992",90,2552,sir ernst gombrich,franz schubert,A1618
9177,1149,"Well-tempered Clavier, Book 1 - Prelude  in C major by Johann Sebastian Bach",4/10/1992,"April 10,1992",90,2552,sir ernst gombrich,johann sebastian bach,A2427
9178,1149,"String Quartet No. 12 in E flat major, Op. 127 by Ludwig van Beethoven",4/10/1992,"April 10,1992",90,2552,sir ernst gombrich,ludwig van beethoven,A3004
9179,1149,Symphony No. 6 in F major 'Pastoral' by Ludwig van Beethoven,4/10/1992,"April 10,1992",90,2552,sir ernst gombrich,ludwig van beethoven,A3004
9180,1149,Piano Concerto No. 9 in E flat major by Wolfgang Amadeus Mozart,4/10/1992,"April 10,1992",90,2552,sir ernst gombrich,wolfgang amadeus mozart,A5418
9181,1149,Divertimento For Violin In E Flat by Wolfgang Amadeus Mozart,4/10/1992,"April 10,1992",90,2552,sir ernst gombrich,wolfgang amadeus mozart,A5418
9169,1148,Der Neugierige (from Die Schöne Müllerin) by Franz Schubert,5/1/1992,"May 1,1992",90,163,anthony rolfe johnson,franz schubert,A1618
9172,1148,Mass in B minor  - Gloria in excelsis by Johann Sebastian Bach,5/1/1992,"May 1,1992",90,163,anthony rolfe johnson,johann sebastian bach,A2427
9175,1148,Goldberg Variations  - Variation No. 2 by Johann Sebastian Bach,5/1/1992,"May 1,1992",90,163,anthony rolfe johnson,johann sebastian bach,A2427
9174,1148,Symphony No. 9 in D minor 'Choral' - 3rd movement by Ludwig van Beethoven,5/1/1992,"May 1,1992",90,163,anthony rolfe johnson,ludwig van beethoven,A3004
9171,1148,Dies Bildnis ist bezaubernd schön (from The Magic Flute) by Wolfgang Amadeus Mozart,5/1/1992,"May 1,1992",90,163,anthony rolfe johnson,wolfgang amadeus mozart,A5418
9149,1145,Violin Concerto in B Minor by Edward Elgar,5/22/1992,"May 22,1992",90,1852,michael grade,edward elgar,A1326
9151,1145,Vissi d'arte (from Tosca) by Giacomo Puccini,5/22/1992,"May 22,1992",90,1852,michael grade,giacomo puccini,A1790
9145,1145,Symphony No. 3 in E flat major 'Eroica' by Ludwig van Beethoven,5/22/1992,"May 22,1992",90,1852,michael grade,ludwig van beethoven,A3004
9152,1145,Là ci darem la mano (from Don Giovanni) by Wolfgang Amadeus Mozart,5/22/1992,"May 22,1992",90,1852,michael grade,wolfgang amadeus mozart,A5418
9142,1144,"Auf dem Wasser zu singen (To be Sung upon the Water), D774 by Franz Schubert",5/29/1992,"May 29,1992",90,1638,lord chief justice taylor,franz schubert,A1618
9143,1144,String Quintet in C major by Franz Schubert,5/29/1992,"May 29,1992",90,1638,lord chief justice taylor,franz schubert,A1618
9140,1144,"String Quartet No. 15 in A minor, Op. 132 by Ludwig van Beethoven",5/29/1992,"May 29,1992",90,1638,lord chief justice taylor,ludwig van beethoven,A3004
9139,1144,Symphony No. 41 in C major 'Jupiter' by Wolfgang Amadeus Mozart,5/29/1992,"May 29,1992",90,1638,lord chief justice taylor,wolfgang amadeus mozart,A5418
9144,1144,Soave sia il vento (from Cosi fan tutte) by Wolfgang Amadeus Mozart,5/29/1992,"May 29,1992",90,1638,lord chief justice taylor,wolfgang amadeus mozart,A5418
9133,1143,Trokne Blumen (from Die Schöne Müllerin) by Franz Schubert,6/5/1992,"June 5,1992",90,2200,prunella scales,franz schubert,A1618
9129,1143,St John Passion - Ruht wohl ihr heiligen Gebeine by Johann Sebastian Bach,6/5/1992,"June 5,1992",90,2200,prunella scales,johann sebastian bach,A2427
