Unique Identifier,episode_ref,track_name,date,date_text,decade,castaway_ref,std_name,std_artist,std_artist_id
22492,2812,Symphony No. 5 in C minor by Ludwig van Beethoven,7/23/1942,"July 23,1942",40,1599,leslie howard,ludwig van beethoven,A3004
22461,2809,Symphony No. 5 in E minor by Peter Ilyich Tchaikovsky,9/10/1942,"September 10,1942",40,832,emlyn williams,pyotr ilyich tchaikovsky,A3932
22445,2807,Egmont Overture by Ludwig van Beethoven,9/25/1942,"September 25,1942",40,2294,richard tauber,ludwig van beethoven,A3004
22451,2807,Symphony No. 6 in B minor 'Pathétique' by Peter Ilyich Tchaikovsky,9/25/1942,"September 25,1942",40,2294,richard tauber,pyotr ilyich tchaikovsky,A3932
22444,2806,Violin Concerto in B Minor by Edward Elgar,10/9/1942,"October 9,1942",40,1436,jonah barrington,edward elgar,A1326
22435,2805,Serenade for Strings in C major by Peter Ilyich Tchaikovsky,10/24/1942,"October 24,1942",40,1866,michael powell,pyotr ilyich tchaikovsky,A3932
22422,2804,Lilac Time by Franz Schubert,12/3/1942,"December 3,1942",40,18,admiral sir edward evans,franz schubert,A1618
22423,2804,Nutcracker Suite - Waltz of the flowers by Peter Ilyich Tchaikovsky,12/3/1942,"December 3,1942",40,18,admiral sir edward evans,pyotr ilyich tchaikovsky,A3932
22417,2803,Sleeping Beauty - Waltz by Peter Ilyich Tchaikovsky,3/20/1943,"March 20,1943",40,701,donald mccullough,pyotr ilyich tchaikovsky,A3932
22397,2801,Symphony No. 8 in F major by Ludwig van Beethoven,6/8/1943,"June 8,1943",40,2791,tom driberg,ludwig van beethoven,A3004
22398,2801,Piano Concerto No. 20 in D minor by Wolfgang Amadeus Mozart,6/8/1943,"June 8,1943",40,2791,tom driberg,wolfgang amadeus mozart,A5418
22395,2800,Piano Concerto No. 5 in E flat major 'Emperor' by Ludwig van Beethoven,6/19/1943,"June 19,1943",40,912,frank swinnerton,ludwig van beethoven,A3004
22394,2800,Serenade for Strings in C major - Waltz by Peter Ilyich Tchaikovsky,6/19/1943,"June 19,1943",40,912,frank swinnerton,pyotr ilyich tchaikovsky,A3932
22388,2799,"Variations on an Original Theme, Op. 36: Variation IX ""Nimrod"" by Edward Elgar",6/26/1943,"June 26,1943",40,287,beverley baxter,edward elgar,A1326
22382,2799,Romeo and Juliet Fantasy Overture by Peter Ilyich Tchaikovsky,6/26/1943,"June 26,1943",40,287,beverley baxter,pyotr ilyich tchaikovsky,A3932
22378,2798,Serenade for Strings in C major by Peter Ilyich Tchaikovsky,7/16/1943,"July 16,1943",40,1112,herbert hodge,pyotr ilyich tchaikovsky,A3932
22367,2797,O mio babbino caro (from Gianni Schicchi) by Giacomo Puccini,7/26/1943,"July 26,1943",40,370,c a lejeune,giacomo puccini,A1790
22364,2796,Serenade No. 13 in G major 'Eine kleine Nachtmusik' by Wolfgang Amadeus Mozart,8/16/1943,"August 16,1943",40,1185,ivor brown,wolfgang amadeus mozart,A5418
22354,2795,"Impromptu in B flat major, D935 No. 3 by Franz Schubert",10/2/1943,"October 2,1943",40,2793,tom harrisson,franz schubert,A1618
22342,2794,Swan Lake by Peter Ilyich Tchaikovsky,10/5/1943,"October 5,1943",40,1555,lady eleanor smith,pyotr ilyich tchaikovsky,A3932
22326,2792,Ständchen (from Schwanengesang) by Franz Schubert,11/16/1943,"November 16,1943",40,373,c h middleton,franz schubert,A1618
22321,2791,Minuet (from Don Giovanni) by Wolfgang Amadeus Mozart,11/23/1943,"November 23,1943",40,1189,j b morton,wolfgang amadeus mozart,A5418
22306,2789,"An die Musik (To Music), D547 by Franz Schubert",1/8/1944,"January 8,1944",40,36,alan dent,franz schubert,A1618
22295,2788,Brandenburg Concerto No. 6 in B flat major by Johann Sebastian Bach,1/29/1944,"January 29,1944",40,2014,pamela frankau,johann sebastian bach,A2427
22297,2788,Piano Concerto No. 5 in E flat major 'Emperor' by Ludwig van Beethoven,1/29/1944,"January 29,1944",40,2014,pamela frankau,ludwig van beethoven,A3004
22299,2788,Symphony No. 5 in E minor by Peter Ilyich Tchaikovsky,1/29/1944,"January 29,1944",40,2014,pamela frankau,pyotr ilyich tchaikovsky,A3932
22296,2788,The Magic Flute by Wolfgang Amadeus Mozart,1/29/1944,"January 29,1944",40,2014,pamela frankau,wolfgang amadeus mozart,A5418
22288,2787,Swan Lake - Waltz by Peter Ilyich Tchaikovsky,2/12/1944,"February 12,1944",40,2219,ralph reader,pyotr ilyich tchaikovsky,A3932
22260,2783,Dream Children by Edward Elgar,8/11/1945,"August 11,1945",40,2100,peter fettes,edward elgar,A1326
22259,2783,"Cortigiani, vil razza dannata (from Rigoletto) by Giuseppe Verdi",8/11/1945,"August 11,1945",40,2100,peter fettes,giuseppe verdi,A1815
22247,2782,Piano Trio No. 1 in B flat major by Franz Schubert,8/18/1945,"August 18,1945",40,1304,jill balcon,franz schubert,A1618
22252,2782,Bella figlia dell'amore (from Rigoletto) by Giuseppe Verdi,8/18/1945,"August 18,1945",40,1304,jill balcon,giuseppe verdi,A1815
22250,2782,Cantata No. 68: Also hat Gott die Welt geliebt by Johann Sebastian Bach,8/18/1945,"August 18,1945",40,1304,jill balcon,johann sebastian bach,A2427
22249,2782,Symphony No. 39 in E flat major by Wolfgang Amadeus Mozart,8/18/1945,"August 18,1945",40,1304,jill balcon,wolfgang amadeus mozart,A5418
22238,2781,Concerto for Two Violins in D minor by Johann Sebastian Bach,8/25/1945,"August 25,1945",40,1854,michael harrison,johann sebastian bach,A2427
22231,2780,Madama Butterfly by Giacomo Puccini,9/1/1945,"September 1,1945",40,1328,joan edgar,giacomo puccini,A1790
22229,2780,Sleeping Beauty - Rose Adagio by Peter Ilyich Tchaikovsky,9/1/1945,"September 1,1945",40,1328,joan edgar,pyotr ilyich tchaikovsky,A3932
22221,2779,Vissi d'arte (from Tosca) by Giacomo Puccini,9/8/1945,"September 8,1945",40,2388,roy williams,giacomo puccini,A1790
22223,2779,La vergine degli angeli (from La forza del destino) by Giuseppe Verdi,9/8/1945,"September 8,1945",40,2388,roy williams,giuseppe verdi,A1815
22226,2779,Misere (from Il trovatore) by Giuseppe Verdi,9/8/1945,"September 8,1945",40,2388,roy williams,giuseppe verdi,A1815
22214,2778,Suite for Solo Cello No. 1 in G Major - 1st movement by Johann Sebastian Bach,9/15/1945,"September 15,1945",40,90,alvar lidell,johann sebastian bach,A2427
22215,2778,"Deh! vieni, alla finestra (from Don Giovanni) by Wolfgang Amadeus Mozart",9/15/1945,"September 15,1945",40,90,alvar lidell,wolfgang amadeus mozart,A5418
22210,2777,"None but the lonely heart, Op. 6/6 by Peter Ilyich Tchaikovsky",9/22/1945,"September 22,1945",40,2021,pat butler,pyotr ilyich tchaikovsky,A3932
22207,2777,Finch'han dal vino (from Don Giovanni) by Wolfgang Amadeus Mozart,9/22/1945,"September 22,1945",40,2021,pat butler,wolfgang amadeus mozart,A5418
22202,2776,Orchestral Suite No. 3 in D major by Johann Sebastian Bach,9/29/1945,"September 29,1945",40,1729,margaret hubble,johann sebastian bach,A2427
22199,2776,Symphony No. 7 in A major by Ludwig van Beethoven,9/29/1945,"September 29,1945",40,1729,margaret hubble,ludwig van beethoven,A3004
22185,2774,Symphony No. 6 in F major 'Pastoral' by Ludwig van Beethoven,10/13/1945,"October 13,1945",40,467,claire luce,ludwig van beethoven,A3004
22178,2773,String Quartet No. 14 in D minor 'Death and the Maiden' - 2nd movement by Franz Schubert,10/20/1945,"October 20,1945",40,730,dr c e m joad,franz schubert,A1618
22173,2773,Concerto for Two Violins in D minor - 2nd movement by Johann Sebastian Bach,10/20/1945,"October 20,1945",40,730,dr c e m joad,johann sebastian bach,A2427
22179,2773,Symphony No. 3 in E flat major 'Eroica' - 4th movement by Ludwig van Beethoven,10/20/1945,"October 20,1945",40,730,dr c e m joad,ludwig van beethoven,A3004
22180,2773,Symphony No. 3 in E flat major 'Eroica' - 4th movement by Ludwig van Beethoven,10/20/1945,"October 20,1945",40,730,dr c e m joad,ludwig van beethoven,A3004
22174,2773,Sinfonia Concertante in E flat major by Wolfgang Amadeus Mozart,10/20/1945,"October 20,1945",40,730,dr c e m joad,wolfgang amadeus mozart,A5418
22175,2773,Sinfonia Concertante in E flat major by Wolfgang Amadeus Mozart,10/20/1945,"October 20,1945",40,730,dr c e m joad,wolfgang amadeus mozart,A5418
22176,2773,Sinfonia Concertante in E flat major by Wolfgang Amadeus Mozart,10/20/1945,"October 20,1945",40,730,dr c e m joad,wolfgang amadeus mozart,A5418
22177,2773,Sinfonia Concertante in E flat major by Wolfgang Amadeus Mozart,10/20/1945,"October 20,1945",40,730,dr c e m joad,wolfgang amadeus mozart,A5418
22165,2772,Cockaigne Overture by Edward Elgar,10/27/1945,"October 27,1945",40,410,celia johnson,edward elgar,A1326
22172,2772,Symphony No. 6 in F major 'Pastoral' by Ludwig van Beethoven,10/27/1945,"October 27,1945",40,410,celia johnson,ludwig van beethoven,A3004
22143,2769,Serenade for Strings in C major by Peter Ilyich Tchaikovsky,11/17/1945,"November 17,1945",40,643,deborah kerr,pyotr ilyich tchaikovsky,A3932
22128,2767,Violin Concerto in B Minor by Edward Elgar,12/1/1945,"December 1,1945",40,803,eileen joyce,edward elgar,A1326
22131,2767,Piano Quintet in A major 'Trout' by Franz Schubert,12/1/1945,"December 1,1945",40,803,eileen joyce,franz schubert,A1618
22126,2767,Musical Offering - Ricercar a 6 by Johann Sebastian Bach,12/1/1945,"December 1,1945",40,803,eileen joyce,johann sebastian bach,A2427
22129,2767,"String Quartet No. 9 in C Major, Op. 59/3 'Rasumovsky' by Ludwig van Beethoven",12/1/1945,"December 1,1945",40,803,eileen joyce,ludwig van beethoven,A3004
22127,2767,Symphony No. 40 In G Minor by Wolfgang Amadeus Mozart,12/1/1945,"December 1,1945",40,803,eileen joyce,wolfgang amadeus mozart,A5418
22123,2766,In quelle trine morbide (from Manon Lescaut) by Giacomo Puccini,12/8/1945,"December 8,1945",40,2706,stewart granger,giacomo puccini,A1790
22121,2766,"Jesu, Joy of Mans Desiring from Cantata BWV 147 by Johann Sebastian Bach",12/8/1945,"December 8,1945",40,2706,stewart granger,johann sebastian bach,A2427
22119,2766,Piano Concerto No. 5 in E flat major 'Emperor' by Ludwig van Beethoven,12/8/1945,"December 8,1945",40,2706,stewart granger,ludwig van beethoven,A3004
22115,2765,"Piano Sonata No. 14 in C sharp minor, Op.27/2 'Moonlight' by Ludwig van Beethoven",12/15/1945,"December 15,1945",40,2278,richard goolden,ludwig van beethoven,A3004
22104,2764,Der Lindenbaum (from Winterreise) by Franz Schubert,12/22/1945,"December 22,1945",40,1990,nova pilbeam,franz schubert,A1618
22103,2764,"Violin Sonata No. 5 in F minor, BWV 1018 by Johann Sebastian Bach",12/22/1945,"December 22,1945",40,1990,nova pilbeam,johann sebastian bach,A2427
22108,2764,Mass in B Minor - Cum sancto spiritu by Johann Sebastian Bach,12/22/1945,"December 22,1945",40,1990,nova pilbeam,johann sebastian bach,A2427
22101,2764,"Bagatelles, Op. 126 - No. 4 in B minor by Ludwig van Beethoven",12/22/1945,"December 22,1945",40,1990,nova pilbeam,ludwig van beethoven,A3004
22107,2764,"Piano Trio No. 4 in B flat major, Op. 11 by Ludwig van Beethoven",12/22/1945,"December 22,1945",40,1990,nova pilbeam,ludwig van beethoven,A3004
22102,2764,Symphony No. 41 in C major 'Jupiter' by Wolfgang Amadeus Mozart,12/22/1945,"December 22,1945",40,1990,nova pilbeam,wolfgang amadeus mozart,A5418
22099,2763,"Variations on an Original Theme, Op. 36: Variation IX ""Nimrod"" by Edward Elgar",12/29/1945,"December 29,1945",40,2665,sonia dresdel,edward elgar,A1326
22093,2763,Symphony No. 7 in A major by Ludwig van Beethoven,12/29/1945,"December 29,1945",40,2665,sonia dresdel,ludwig van beethoven,A3004
22091,2762,French Suite No. 5 In G major - 7th movement by Johann Sebastian Bach,1/5/1946,"January 5,1946",40,217,barbara mullen,johann sebastian bach,A2427
22085,2762,Piano Concerto No. 1 in B flat minor by Peter Ilyich Tchaikovsky,1/5/1946,"January 5,1946",40,217,barbara mullen,pyotr ilyich tchaikovsky,A3932
22060,2758,Symphony No. 9 in D minor 'Choral' by Ludwig van Beethoven,1/24/1951,"January 24,1951",50,2933,yvonne arnaud,ludwig van beethoven,A3004
22057,2758,The Marriage of Figaro Overture by Wolfgang Amadeus Mozart,1/24/1951,"January 24,1951",50,2933,yvonne arnaud,wolfgang amadeus mozart,A5418
22047,2757,Vissi d'arte (from Tosca) by Giacomo Puccini,1/31/1951,"January 31,1951",50,702,donald peers,giacomo puccini,A1790
22053,2757,La traviata Prelude to Act 1 by Giuseppe Verdi,1/31/1951,"January 31,1951",50,702,donald peers,giuseppe verdi,A1815
22043,2756,String Quintet in C major by Franz Schubert,2/7/1951,"February 7,1951",50,2118,peter scott,franz schubert,A1618
22041,2756,Symphony No. 7 in A major by Ludwig van Beethoven,2/7/1951,"February 7,1951",50,2118,peter scott,ludwig van beethoven,A3004
22039,2756,Piano Concerto No. 27 in B flat major by Wolfgang Amadeus Mozart,2/7/1951,"February 7,1951",50,2118,peter scott,wolfgang amadeus mozart,A5418
22032,2755,Che gelida manina (Your tiny hand is frozen) (from La Bohème) by Giacomo Puccini,2/14/1951,"February 14,1951",50,508,constance cummings,giacomo puccini,A1790
22016,2753,Vissi d'arte (from Tosca) by Giacomo Puccini,2/28/1951,"February 28,1951",50,1512,kay hammond,giacomo puccini,A1790
22020,2753,O terra addio (from Aida) by Giuseppe Verdi,2/28/1951,"February 28,1951",50,1512,kay hammond,giuseppe verdi,A1815
22021,2753,Symphony No. 5 in C minor by Ludwig van Beethoven,2/28/1951,"February 28,1951",50,1512,kay hammond,ludwig van beethoven,A3004
22017,2753,Swan Lake - Dance of the Swans by Peter Ilyich Tchaikovsky,2/28/1951,"February 28,1951",50,1512,kay hammond,pyotr ilyich tchaikovsky,A3932
22010,2752,String Quartet No. 13 in  A minor by Franz Schubert,3/7/1951,"March 7,1951",50,2122,peter ustinov,franz schubert,A1618
22001,2751,Violin Concerto in D major by Peter Ilyich Tchaikovsky,3/14/1951,"March 14,1951",50,1331,joan hammond,pyotr ilyich tchaikovsky,A3932
22003,2751,Symphony No. 5 in E minor by Peter Ilyich Tchaikovsky,3/14/1951,"March 14,1951",50,1331,joan hammond,pyotr ilyich tchaikovsky,A3932
22004,2751,Serenade No. 13 in G major 'Eine kleine Nachtmusik' by Wolfgang Amadeus Mozart,3/14/1951,"March 14,1951",50,1331,joan hammond,wolfgang amadeus mozart,A5418
21991,2750,O soave fanciulla (from La Bohème) by Giacomo Puccini,3/21/1951,"March 21,1951",50,1360,john clements,giacomo puccini,A1790
21994,2750,E Lucevan Le Stelle (from Tosca) by Giacomo Puccini,3/21/1951,"March 21,1951",50,1360,john clements,giacomo puccini,A1790
21993,2750,Rigoletto: Caro Nome by Giuseppe Verdi,3/21/1951,"March 21,1951",50,1360,john clements,giuseppe verdi,A1815
21992,2750,"Well-tempered Clavier, Book 1 - Prelude & Fugue in C major by Johann Sebastian Bach",3/21/1951,"March 21,1951",50,1360,john clements,johann sebastian bach,A2427
21990,2750,Leonora Overture No. 3 by Ludwig van Beethoven,3/21/1951,"March 21,1951",50,1360,john clements,ludwig van beethoven,A3004
21997,2750,Piano Concerto No. 5 in E flat major 'Emperor' by Ludwig van Beethoven,3/21/1951,"March 21,1951",50,1360,john clements,ludwig van beethoven,A3004
21975,2748,Vogliatemi bene (from Madama Butterfly) by Giacomo Puccini,4/4/1951,"April 4,1951",50,146,anona winn,giacomo puccini,A1790
21951,2745,La traviata Prelude to Act 1 by Giuseppe Verdi,4/25/1951,"April 25,1951",50,1732,margaret lockwood,giuseppe verdi,A1815
21955,2745,Swan Lake - Act 4 (finale) by Peter Ilyich Tchaikovsky,4/25/1951,"April 25,1951",50,1732,margaret lockwood,pyotr ilyich tchaikovsky,A3932
21937,2743,Concerto for Two Violins in D minor by Johann Sebastian Bach,5/9/1951,"May 9,1951",50,1563,larry adler,johann sebastian bach,A2427
21941,2743,Violin Concerto in D major by Ludwig van Beethoven,5/9/1951,"May 9,1951",50,1563,larry adler,ludwig van beethoven,A3004
21935,2743,"String Quartet No. 23 in F major, K590 by Wolfgang Amadeus Mozart",5/9/1951,"May 9,1951",50,1563,larry adler,wolfgang amadeus mozart,A5418
21936,2743,Symphony No. 40 In G Minor by Wolfgang Amadeus Mozart,5/9/1951,"May 9,1951",50,1563,larry adler,wolfgang amadeus mozart,A5418
21929,2742,Sanctus (from Requiem Mass) by Giuseppe Verdi,5/16/1951,"May 16,1951",50,648,denis compton w j edrich,giuseppe verdi,A1815
21927,2742,Swan Lake - Waltz by Peter Ilyich Tchaikovsky,5/16/1951,"May 16,1951",50,648,denis compton w j edrich,pyotr ilyich tchaikovsky,A3932
21912,2740,"Der Erlkönig (The Earl King), D328 by Franz Schubert",5/30/1951,"May 30,1951",50,544,dame maggie teyte,franz schubert,A1618
21911,2740,"Toccata, Adagio and Fugue in C Major by Johann Sebastian Bach",5/30/1951,"May 30,1951",50,544,dame maggie teyte,johann sebastian bach,A2427
21901,2738,Romeo and Juliet Fantasy Overture by Peter Ilyich Tchaikovsky,6/13/1951,"June 13,1951",50,1037,gracie fields,pyotr ilyich tchaikovsky,A3932
21886,2737,Cockaigne Overture by Edward Elgar,6/20/1951,"June 20,1951",50,841,eric coates,edward elgar,A1326
21880,2736,E Lucevan Le Stelle (from Tosca) by Giacomo Puccini,6/27/1951,"June 27,1951",50,300,bill johnson,giacomo puccini,A1790
21885,2736,Eri tu che macchiavi (from Un ballo in maschera) by Giuseppe Verdi,6/27/1951,"June 27,1951",50,300,bill johnson,giuseppe verdi,A1815
21874,2735,Chanson de matin by Edward Elgar,7/4/1951,"July 4,1951",50,2679,stanley holloway,edward elgar,A1326
21869,2734,Pomp & Circumstance March No. 1 in D major 'Land of Hope and Glory' by Edward Elgar,7/11/1951,"July 11,1951",50,463,cicely courtneidge,edward elgar,A1326
21852,2732,Rigoletto: Concert Paraphrase by Giuseppe Verdi/Liszt,7/25/1951,"July 25,1951",50,1277,jean kent,giuseppe verdi,A1815
21830,2730,Toccata in G major by Johann Sebastian Bach,8/8/1951,"August 8,1951",50,1457,joyce grenfell,johann sebastian bach,A2427
21835,2730,Musical Offering - Ricercar a 6 by Johann Sebastian Bach,8/8/1951,"August 8,1951",50,1457,joyce grenfell,johann sebastian bach,A2427
21820,2728,Vanish'd Are Ye (from The Marriage Of Figaro) by Wolfgang Amadeus Mozart,8/22/1951,"August 22,1951",50,2138,phyllis calvert,wolfgang amadeus mozart,A5418
21807,2727,"Jesu, Joy of Mans Desiring from Cantata BWV 147 by Johann Sebastian Bach",8/29/1951,"August 29,1951",50,2878,vivian ellis,johann sebastian bach,A2427
21801,2726,Symphony No. 40 In G Minor by Wolfgang Amadeus Mozart,9/5/1951,"September 5,1951",50,133,anne crawford,wolfgang amadeus mozart,A5418
21789,2724,Swan Lake by Peter Ilyich Tchaikovsky,9/18/1951,"September 18,1951",50,2453,sally ann howes,pyotr ilyich tchaikovsky,A3932
21781,2723,Pomp & Circumstance March No. 1 in D major 'Land of Hope and Glory' by Edward Elgar,9/25/1951,"September 25,1951",50,984,george robey,edward elgar,A1326
21778,2723,Mondo ladro (from Falstaff) by Giuseppe Verdi,9/25/1951,"September 25,1951",50,984,george robey,giuseppe verdi,A1815
21774,2723,Nutcracker Suite - Dance of the Sugar Plum Fairy by Peter Ilyich Tchaikovsky,9/25/1951,"September 25,1951",50,984,george robey,pyotr ilyich tchaikovsky,A3932
21771,2722,Sonata No. 4 In D minor by Johann Sebastian Bach,10/2/1951,"October 2,1951",50,1713,mai zetterling,johann sebastian bach,A2427
21773,2722,Symphony No. 3 in B Flat Major by Ludwig van Beethoven,10/2/1951,"October 2,1951",50,1713,mai zetterling,ludwig van beethoven,A3004
21766,2722,1812 Overture by Peter Ilyich Tchaikovsky,10/2/1951,"October 2,1951",50,1713,mai zetterling,pyotr ilyich tchaikovsky,A3932
21758,2721,O soave fanciulla (from La Bohème) by Giacomo Puccini,10/9/1951,"October 9,1951",50,1104,henry kendall,giacomo puccini,A1790
21757,2720,Orchestral Suite No. 3 in D major - 2nd movement  (Air on a G string) by Johann Sebastian Bach,10/23/1951,"October 23,1951",50,992,gerald moore,johann sebastian bach,A2427
21754,2720,Symphony No. 6 in F major 'Pastoral' by Ludwig van Beethoven,10/23/1951,"October 23,1951",50,992,gerald moore,ludwig van beethoven,A3004
21742,2719,Concerto for Two Violins in D minor by Johann Sebastian Bach,10/30/1951,"October 30,1951",50,480,clemence dane,johann sebastian bach,A2427
21743,2719,Voi che sapete (from The Marriage of Figaro) by Wolfgang Amadeus Mozart,10/30/1951,"October 30,1951",50,480,clemence dane,wolfgang amadeus mozart,A5418
25630,3205,Symphony No. 9 in C major 'Great' by Franz Schubert,11/13/1951,"November 13,1951",50,680,diana wynyard,franz schubert,A1618
25629,3205,Libera me (from Requiem Mass) by Giuseppe Verdi,11/13/1951,"November 13,1951",50,680,diana wynyard,giuseppe verdi,A1815
25632,3205,"Jesu, Joy of Mans Desiring from Cantata BWV 147 by Johann Sebastian Bach",11/13/1951,"November 13,1951",50,680,diana wynyard,johann sebastian bach,A2427
25604,3202,"Piano Sonata No. 21 in B flat major, D960 by Franz Schubert",12/4/1951,"December 4,1951",50,811,elisabeth schumann,franz schubert,A1618
25609,3202,La traviata Prelude to Act 1 by Giuseppe Verdi,12/4/1951,"December 4,1951",50,811,elisabeth schumann,giuseppe verdi,A1815
25607,3202,Cantata No. 82: Ich habe genug by Johann Sebastian Bach,12/4/1951,"December 4,1951",50,811,elisabeth schumann,johann sebastian bach,A2427
25602,3201,Romeo and Juliet Fantasy Overture by Peter Ilyich Tchaikovsky,12/11/1951,"December 11,1951",50,1394,john mills,pyotr ilyich tchaikovsky,A3932
25590,3200,Nutcracker Suite - Dance of the Sugar Plum Fairy by Peter Ilyich Tchaikovsky,12/18/1951,"December 18,1951",50,558,dame vera lynn,pyotr ilyich tchaikovsky,A3932
25579,3199,The Seasons - June (Barcarolle) by Peter Ilyich Tchaikovsky,1/1/1952,"January 1,1952",50,1200,jack hulbert,pyotr ilyich tchaikovsky,A3932
25578,3198,Un bel di vedremo (One fine day) (from Madama Butterfly) by Giacomo Puccini,1/8/1952,"January 8,1952",50,399,carroll gibbons,giacomo puccini,A1790
25571,3198,Piano Concerto No. 1 in B flat minor by Peter Ilyich Tchaikovsky,1/8/1952,"January 8,1952",50,399,carroll gibbons,pyotr ilyich tchaikovsky,A3932
25563,3197,Brandenburg Concerto No. 5 In D Major by Johann Sebastian Bach,1/15/1952,"January 15,1952",50,2727,sybil thorndike,johann sebastian bach,A2427
25564,3197,"Toccata and Fugue in D Minor, BWV 565 by Johann Sebastian Bach",1/15/1952,"January 15,1952",50,2727,sybil thorndike,johann sebastian bach,A2427
25567,3197,Fantasia in C minor by Johann Sebastian Bach,1/15/1952,"January 15,1952",50,2727,sybil thorndike,johann sebastian bach,A2427
25568,3197,"Violin Sonata No. 9 in A major, Op. 47 'Kreutzer' by Ludwig van Beethoven",1/15/1952,"January 15,1952",50,2727,sybil thorndike,ludwig van beethoven,A3004
25570,3197,"L'amerò, sarò costante (from Il re pastore) by Wolfgang Amadeus Mozart",1/15/1952,"January 15,1952",50,2727,sybil thorndike,wolfgang amadeus mozart,A5418
25559,3196,La donna è mobile (from Rigoletto) by Giuseppe Verdi,1/22/1952,"January 22,1952",50,2670,spike hughes,giuseppe verdi,A1815
25562,3196,Symphony No. 5 in C minor by Ludwig van Beethoven,1/22/1952,"January 22,1952",50,2670,spike hughes,ludwig van beethoven,A3004
25555,3196,String Quintet No. 4 in G minor by Wolfgang Amadeus Mozart,1/22/1952,"January 22,1952",50,2670,spike hughes,wolfgang amadeus mozart,A5418
25550,3195,Vissi d'arte (from Tosca) by Giacomo Puccini,1/29/1952,"January 29,1952",50,1284,jeanne de casalis,giacomo puccini,A1790
25538,3193,String Quintet in C major by Franz Schubert,2/19/1952,"February 19,1952",50,505,compton mackenzie,franz schubert,A1618
25535,3193,La traviata Prelude to Act 1 by Giuseppe Verdi,2/19/1952,"February 19,1952",50,505,compton mackenzie,giuseppe verdi,A1815
25533,3193,"Violin Sonata No. 5 in F major, Op. 24 'Spring' by Ludwig van Beethoven",2/19/1952,"February 19,1952",50,505,compton mackenzie,ludwig van beethoven,A3004
25534,3193,Sonata in C Major by Wolfgang Amadeus Mozart,2/19/1952,"February 19,1952",50,505,compton mackenzie,wolfgang amadeus mozart,A5418
25528,3192,In questa Reggia (from Turandot) by Giacomo Puccini,2/26/1952,"February 26,1952",50,814,elisabeth welch,giacomo puccini,A1790
25522,3191,Sono andati? (from La Bohème) by Giacomo Puccini,3/4/1952,"March 4,1952",50,2346,roger livesey,giacomo puccini,A1790
25518,3191,Hamlet Overture by Peter Ilyich Tchaikovsky,3/4/1952,"March 4,1952",50,2346,roger livesey,pyotr ilyich tchaikovsky,A3932
