Id,Label,date_text
A1815,giuseppe verdi,"November 13,1951"
A2427,johann sebastian bach,"November 13,1951"
A1618,franz schubert,"December 4,1951"
A1815,giuseppe verdi,"December 4,1951"
A2427,johann sebastian bach,"December 4,1951"
A3932,pyotr ilyich tchaikovsky,"December 11,1951"
A3932,pyotr ilyich tchaikovsky,"December 18,1951"
A3932,pyotr ilyich tchaikovsky,"January 1,1952"
A1790,giacomo puccini,"January 8,1952"
A3932,pyotr ilyich tchaikovsky,"January 8,1952"
A2427,johann sebastian bach,"January 15,1952"
A3004,ludwig van beethoven,"January 15,1952"
A5418,wolfgang amadeus mozart,"January 15,1952"
A1815,giuseppe verdi,"January 22,1952"
A3004,ludwig van beethoven,"January 22,1952"
A5418,wolfgang amadeus mozart,"January 22,1952"
A1790,giacomo puccini,"January 29,1952"
A1618,franz schubert,"February 19,1952"
A1815,giuseppe verdi,"February 19,1952"
A3004,ludwig van beethoven,"February 19,1952"
A5418,wolfgang amadeus mozart,"February 19,1952"
A1790,giacomo puccini,"February 26,1952"
A1790,giacomo puccini,"March 4,1952"
A3932,pyotr ilyich tchaikovsky,"March 4,1952"
A2427,johann sebastian bach,"March 11,1952"
A2427,johann sebastian bach,"March 26,1952"
A1326,edward elgar,"April 1,1952"
A2427,johann sebastian bach,"April 8,1952"
A5418,wolfgang amadeus mozart,"April 8,1952"
A1618,franz schubert,"April 15,1952"
A1790,giacomo puccini,"April 15,1952"
A5418,wolfgang amadeus mozart,"April 15,1952"
A1790,giacomo puccini,"April 29,1952"
A1815,giuseppe verdi,"April 29,1952"
A3004,ludwig van beethoven,"April 29,1952"
A1815,giuseppe verdi,"May 20,1952"
A3004,ludwig van beethoven,"May 20,1952"
A1790,giacomo puccini,"May 27,1952"
A3004,ludwig van beethoven,"May 27,1952"
A1790,giacomo puccini,"June 10,1952"
A2427,johann sebastian bach,"June 10,1952"
A1326,edward elgar,"June 17,1952"
A1790,giacomo puccini,"June 17,1952"
A1326,edward elgar,"June 24,1952"
A1815,giuseppe verdi,"July 1,1952"
A5418,wolfgang amadeus mozart,"July 1,1952"
A1326,edward elgar,"July 8,1952"
A3932,pyotr ilyich tchaikovsky,"July 8,1952"
A5418,wolfgang amadeus mozart,"July 15,1952"
A3004,ludwig van beethoven,"July 29,1952"
A3004,ludwig van beethoven,"August 5,1952"
A3004,ludwig van beethoven,"August 12,1952"
A5418,wolfgang amadeus mozart,"August 12,1952"
A1326,edward elgar,"August 19,1952"
A5418,wolfgang amadeus mozart,"August 19,1952"
A1618,franz schubert,"September 2,1952"
A3004,ludwig van beethoven,"September 9,1952"
A3932,pyotr ilyich tchaikovsky,"September 16,1952"
A2427,johann sebastian bach,"October 3,1952"
A3004,ludwig van beethoven,"October 17,1952"
A3932,pyotr ilyich tchaikovsky,"October 17,1952"
A3932,pyotr ilyich tchaikovsky,"October 24,1952"
A3932,pyotr ilyich tchaikovsky,"November 7,1952"
A1326,edward elgar,"November 28,1952"
A1790,giacomo puccini,"November 28,1952"
A1815,giuseppe verdi,"December 5,1952"
A5418,wolfgang amadeus mozart,"December 5,1952"
A3932,pyotr ilyich tchaikovsky,"December 12,1952"
A1326,edward elgar,"January 9,1953"
A3932,pyotr ilyich tchaikovsky,"January 30,1953"
A2427,johann sebastian bach,"February 6,1953"
A3932,pyotr ilyich tchaikovsky,"February 6,1953"
A1790,giacomo puccini,"February 20,1953"
A1815,giuseppe verdi,"February 20,1953"
A1790,giacomo puccini,"February 27,1953"
A3004,ludwig van beethoven,"February 27,1953"
A3932,pyotr ilyich tchaikovsky,"March 13,1953"
A3004,ludwig van beethoven,"April 24,1953"
A5418,wolfgang amadeus mozart,"April 24,1953"
A1815,giuseppe verdi,"May 1,1953"
A3004,ludwig van beethoven,"May 1,1953"
A3004,ludwig van beethoven,"May 15,1953"
A3932,pyotr ilyich tchaikovsky,"May 15,1953"
A3004,ludwig van beethoven,"June 12,1953"
A1790,giacomo puccini,"June 19,1953"
A1815,giuseppe verdi,"June 19,1953"
A3932,pyotr ilyich tchaikovsky,"June 19,1953"
A3004,ludwig van beethoven,"June 26,1953"
A3932,pyotr ilyich tchaikovsky,"June 26,1953"
A1790,giacomo puccini,"July 2,1953"
A1815,giuseppe verdi,"July 2,1953"
A1326,edward elgar,"July 10,1953"
A1790,giacomo puccini,"July 10,1953"
A3932,pyotr ilyich tchaikovsky,"July 10,1953"
A3932,pyotr ilyich tchaikovsky,"July 17,1953"
A1815,giuseppe verdi,"July 24,1953"
A1790,giacomo puccini,"August 7,1953"
A3932,pyotr ilyich tchaikovsky,"August 7,1953"
A1790,giacomo puccini,"August 21,1953"
A1815,giuseppe verdi,"August 21,1953"
A1790,giacomo puccini,"August 28,1953"
A3932,pyotr ilyich tchaikovsky,"August 28,1953"
A2427,johann sebastian bach,"September 4,1953"
A5418,wolfgang amadeus mozart,"September 4,1953"
A1618,franz schubert,"September 25,1953"
A1790,giacomo puccini,"September 25,1953"
A1815,giuseppe verdi,"September 25,1953"
A3004,ludwig van beethoven,"September 25,1953"
A5418,wolfgang amadeus mozart,"September 25,1953"
A2427,johann sebastian bach,"September 17,1954"
A3004,ludwig van beethoven,"September 17,1954"
A2427,johann sebastian bach,"October 8,1954"
A3004,ludwig van beethoven,"October 15,1954"
A2427,johann sebastian bach,"October 29,1954"
A5418,wolfgang amadeus mozart,"October 29,1954"
A2427,johann sebastian bach,"November 12,1954"
A3004,ludwig van beethoven,"November 12,1954"
A2427,johann sebastian bach,"November 18,1954"
A1618,franz schubert,"November 25,1954"
A3004,ludwig van beethoven,"November 25,1954"
A5418,wolfgang amadeus mozart,"November 25,1954"
A2427,johann sebastian bach,"December 2,1954"
A1618,franz schubert,"December 9,1954"
A2427,johann sebastian bach,"December 9,1954"
A3004,ludwig van beethoven,"December 9,1954"
A5418,wolfgang amadeus mozart,"December 9,1954"
A1326,edward elgar,"December 16,1954"
A3004,ludwig van beethoven,"December 16,1954"
A3932,pyotr ilyich tchaikovsky,"December 16,1954"
A1326,edward elgar,"December 30,1954"
A2427,johann sebastian bach,"January 6,1955"
A1326,edward elgar,"January 13,1955"
A2427,johann sebastian bach,"January 13,1955"
A5418,wolfgang amadeus mozart,"January 13,1955"
A1815,giuseppe verdi,"January 20,1955"
A2427,johann sebastian bach,"January 20,1955"
A1618,franz schubert,"February 10,1955"
A2427,johann sebastian bach,"February 10,1955"
A5418,wolfgang amadeus mozart,"February 17,1955"
A1618,franz schubert,"February 24,1955"
A3004,ludwig van beethoven,"February 24,1955"
A1790,giacomo puccini,"March 3,1955"
A2427,johann sebastian bach,"March 3,1955"
A1326,edward elgar,"March 17,1955"
A1790,giacomo puccini,"March 17,1955"
A2427,johann sebastian bach,"March 17,1955"
A3932,pyotr ilyich tchaikovsky,"March 17,1955"
A3932,pyotr ilyich tchaikovsky,"April 21,1955"
A1326,edward elgar,"April 28,1955"
A2427,johann sebastian bach,"April 28,1955"
A3004,ludwig van beethoven,"April 28,1955"
A1618,franz schubert,"May 5,1955"
A1815,giuseppe verdi,"May 5,1955"
A2427,johann sebastian bach,"May 5,1955"
A3004,ludwig van beethoven,"May 5,1955"
A1790,giacomo puccini,"May 12,1955"
A3932,pyotr ilyich tchaikovsky,"May 19,1955"
A1790,giacomo puccini,"June 14,1955"
A3932,pyotr ilyich tchaikovsky,"June 14,1955"
A2427,johann sebastian bach,"June 21,1955"
A5418,wolfgang amadeus mozart,"June 21,1955"
A1618,franz schubert,"June 28,1955"
A1618,franz schubert,"July 5,1955"
A2427,johann sebastian bach,"July 5,1955"
A3004,ludwig van beethoven,"July 5,1955"
A1815,giuseppe verdi,"July 19,1955"
A1326,edward elgar,"August 2,1955"
A5418,wolfgang amadeus mozart,"August 9,1955"
A1815,giuseppe verdi,"August 16,1955"
A2427,johann sebastian bach,"August 16,1955"
A1815,giuseppe verdi,"August 23,1955"
A1326,edward elgar,"August 30,1955"
A1790,giacomo puccini,"August 30,1955"
A3932,pyotr ilyich tchaikovsky,"August 30,1955"
A1326,edward elgar,"September 6,1955"
A1790,giacomo puccini,"September 6,1955"
A1790,giacomo puccini,"September 13,1955"
A3004,ludwig van beethoven,"September 13,1955"
A1790,giacomo puccini,"September 26,1955"
A1790,giacomo puccini,"October 3,1955"
A2427,johann sebastian bach,"October 17,1955"
A3004,ludwig van beethoven,"October 17,1955"
A3932,pyotr ilyich tchaikovsky,"October 31,1955"
A1790,giacomo puccini,"November 7,1955"
A1815,giuseppe verdi,"November 14,1955"
A3932,pyotr ilyich tchaikovsky,"November 14,1955"
A1326,edward elgar,"November 21,1955"
A5418,wolfgang amadeus mozart,"November 21,1955"
A1790,giacomo puccini,"November 28,1955"
A1790,giacomo puccini,"December 26,1955"
A1618,franz schubert,"February 13,1956"
A3932,pyotr ilyich tchaikovsky,"February 13,1956"
A2427,johann sebastian bach,"March 12,1956"
A3004,ludwig van beethoven,"March 12,1956"
A3004,ludwig van beethoven,"March 19,1956"
A1815,giuseppe verdi,"March 26,1956"
A3932,pyotr ilyich tchaikovsky,"March 26,1956"
A3932,pyotr ilyich tchaikovsky,"April 16,1956"
A1815,giuseppe verdi,"April 23,1956"
A5418,wolfgang amadeus mozart,"April 23,1956"
A1326,edward elgar,"April 30,1956"
A3932,pyotr ilyich tchaikovsky,"April 30,1956"
A1790,giacomo puccini,"May 7,1956"
A1326,edward elgar,"May 28,1956"
A1815,giuseppe verdi,"May 28,1956"
A1815,giuseppe verdi,"June 25,1956"
A2427,johann sebastian bach,"June 25,1956"
A2427,johann sebastian bach,"July 2,1956"
A1618,franz schubert,"July 9,1956"
A1326,edward elgar,"July 16,1956"
A1618,franz schubert,"July 16,1956"
A1790,giacomo puccini,"July 16,1956"
A1815,giuseppe verdi,"July 16,1956"
A5418,wolfgang amadeus mozart,"July 16,1956"
A2427,johann sebastian bach,"July 30,1956"
A3004,ludwig van beethoven,"July 30,1956"
A5418,wolfgang amadeus mozart,"August 6,1956"
A5418,wolfgang amadeus mozart,"August 20,1956"
A2427,johann sebastian bach,"August 27,1956"
A3004,ludwig van beethoven,"August 27,1956"
A1790,giacomo puccini,"September 10,1956"
A1326,edward elgar,"September 17,1956"
A1618,franz schubert,"September 17,1956"
A5418,wolfgang amadeus mozart,"September 17,1956"
A3932,pyotr ilyich tchaikovsky,"September 24,1956"
A1790,giacomo puccini,"October 8,1956"
A5418,wolfgang amadeus mozart,"October 8,1956"
A5418,wolfgang amadeus mozart,"October 15,1956"
A3932,pyotr ilyich tchaikovsky,"October 22,1956"
A1618,franz schubert,"October 29,1956"
A2427,johann sebastian bach,"October 29,1956"
A3004,ludwig van beethoven,"October 29,1956"
A1815,giuseppe verdi,"November 12,1956"
A1326,edward elgar,"November 19,1956"
A1790,giacomo puccini,"November 19,1956"
A1815,giuseppe verdi,"November 19,1956"
A2427,johann sebastian bach,"November 26,1956"
A3004,ludwig van beethoven,"November 26,1956"
A5418,wolfgang amadeus mozart,"November 26,1956"
A3932,pyotr ilyich tchaikovsky,"December 3,1956"
A2427,johann sebastian bach,"December 10,1956"
A5418,wolfgang amadeus mozart,"December 14,1956"
A2427,johann sebastian bach,"December 17,1956"
A3932,pyotr ilyich tchaikovsky,"December 24,1956"
A3932,pyotr ilyich tchaikovsky,"December 31,1956"
A1618,franz schubert,"January 7,1957"
A2427,johann sebastian bach,"January 7,1957"
A3004,ludwig van beethoven,"January 7,1957"
A5418,wolfgang amadeus mozart,"January 7,1957"
A2427,johann sebastian bach,"January 21,1957"
A2427,johann sebastian bach,"February 11,1957"
A3004,ludwig van beethoven,"February 11,1957"
A5418,wolfgang amadeus mozart,"February 11,1957"
A3004,ludwig van beethoven,"March 4,1957"
A1618,franz schubert,"March 11,1957"
A2427,johann sebastian bach,"March 11,1957"
A3004,ludwig van beethoven,"March 11,1957"
A5418,wolfgang amadeus mozart,"March 11,1957"
A1790,giacomo puccini,"March 18,1957"
A3004,ludwig van beethoven,"April 1,1957"
A1326,edward elgar,"April 8,1957"
A1790,giacomo puccini,"April 8,1957"
A3932,pyotr ilyich tchaikovsky,"April 8,1957"
A1326,edward elgar,"April 15,1957"
A3932,pyotr ilyich tchaikovsky,"April 22,1957"
A1815,giuseppe verdi,"April 29,1957"
A3932,pyotr ilyich tchaikovsky,"April 29,1957"
A1618,franz schubert,"May 6,1957"
A2427,johann sebastian bach,"May 6,1957"
A1326,edward elgar,"May 13,1957"
A3004,ludwig van beethoven,"May 27,1957"
A5418,wolfgang amadeus mozart,"May 27,1957"
A1326,edward elgar,"June 3,1957"
A1618,franz schubert,"June 3,1957"
A2427,johann sebastian bach,"June 3,1957"
A5418,wolfgang amadeus mozart,"June 3,1957"
A1815,giuseppe verdi,"June 24,1957"
A2427,johann sebastian bach,"June 24,1957"
A3004,ludwig van beethoven,"June 24,1957"
A3004,ludwig van beethoven,"July 1,1957"
A5418,wolfgang amadeus mozart,"July 1,1957"
A1618,franz schubert,"July 8,1957"
A5418,wolfgang amadeus mozart,"July 8,1957"
A1815,giuseppe verdi,"July 22,1957"
A2427,johann sebastian bach,"July 22,1957"
A5418,wolfgang amadeus mozart,"July 22,1957"
A2427,johann sebastian bach,"August 19,1957"
A3004,ludwig van beethoven,"August 19,1957"
A3932,pyotr ilyich tchaikovsky,"August 19,1957"
A5418,wolfgang amadeus mozart,"August 19,1957"
A1790,giacomo puccini,"August 26,1957"
A3932,pyotr ilyich tchaikovsky,"August 26,1957"
A3004,ludwig van beethoven,"September 9,1957"
A3932,pyotr ilyich tchaikovsky,"September 9,1957"
A1790,giacomo puccini,"September 16,1957"
A1815,giuseppe verdi,"September 16,1957"
A5418,wolfgang amadeus mozart,"September 23,1957"
A2427,johann sebastian bach,"September 30,1957"
A3004,ludwig van beethoven,"October 7,1957"
A1790,giacomo puccini,"October 21,1957"
A1790,giacomo puccini,"October 28,1957"
A1326,edward elgar,"November 4,1957"
A3932,pyotr ilyich tchaikovsky,"November 4,1957"
A1815,giuseppe verdi,"November 18,1957"
A2427,johann sebastian bach,"November 25,1957"
A3004,ludwig van beethoven,"November 25,1957"
A2427,johann sebastian bach,"December 2,1957"
A3004,ludwig van beethoven,"December 2,1957"
A2427,johann sebastian bach,"December 9,1957"
A1790,giacomo puccini,"December 23,1957"
A5418,wolfgang amadeus mozart,"December 23,1957"
A1326,edward elgar,"December 30,1957"
A2427,johann sebastian bach,"January 6,1958"
A3004,ludwig van beethoven,"January 6,1958"
A1815,giuseppe verdi,"January 13,1958"
A3004,ludwig van beethoven,"January 13,1958"
A5418,wolfgang amadeus mozart,"January 13,1958"
A5418,wolfgang amadeus mozart,"January 20,1958"
A1618,franz schubert,"February 3,1958"
A1815,giuseppe verdi,"February 3,1958"
A2427,johann sebastian bach,"February 3,1958"
A1326,edward elgar,"February 10,1958"
A1790,giacomo puccini,"February 10,1958"
A3004,ludwig van beethoven,"February 10,1958"
A3004,ludwig van beethoven,"February 24,1958"
A3004,ludwig van beethoven,"March 10,1958"
A3932,pyotr ilyich tchaikovsky,"March 10,1958"
A1790,giacomo puccini,"March 24,1958"
A3004,ludwig van beethoven,"March 31,1958"
A5418,wolfgang amadeus mozart,"March 31,1958"
A3932,pyotr ilyich tchaikovsky,"April 7,1958"
A3932,pyotr ilyich tchaikovsky,"April 28,1958"
A3932,pyotr ilyich tchaikovsky,"May 5,1958"
A5418,wolfgang amadeus mozart,"May 5,1958"
A3004,ludwig van beethoven,"May 12,1958"
A1326,edward elgar,"May 19,1958"
A1790,giacomo puccini,"May 19,1958"
A3932,pyotr ilyich tchaikovsky,"May 19,1958"
A5418,wolfgang amadeus mozart,"May 19,1958"
A1326,edward elgar,"June 2,1958"
A1790,giacomo puccini,"June 2,1958"
A1790,giacomo puccini,"June 9,1958"
A1815,giuseppe verdi,"June 9,1958"
A5418,wolfgang amadeus mozart,"June 16,1958"
A1815,giuseppe verdi,"July 7,1958"
A3004,ludwig van beethoven,"July 21,1958"
A5418,wolfgang amadeus mozart,"July 21,1958"
A1815,giuseppe verdi,"July 28,1958"
A5418,wolfgang amadeus mozart,"July 28,1958"
A1790,giacomo puccini,"August 4,1958"
A1618,franz schubert,"August 11,1958"
A3004,ludwig van beethoven,"August 18,1958"
A1618,franz schubert,"August 25,1958"
A2427,johann sebastian bach,"August 25,1958"
A3004,ludwig van beethoven,"August 25,1958"
A5418,wolfgang amadeus mozart,"August 25,1958"
A3932,pyotr ilyich tchaikovsky,"September 1,1958"
A1815,giuseppe verdi,"September 22,1958"
A3932,pyotr ilyich tchaikovsky,"September 22,1958"
A1790,giacomo puccini,"September 29,1958"
A1815,giuseppe verdi,"September 29,1958"
A2427,johann sebastian bach,"September 29,1958"
A3004,ludwig van beethoven,"September 29,1958"
A5418,wolfgang amadeus mozart,"September 29,1958"
A2427,johann sebastian bach,"October 13,1958"
A3932,pyotr ilyich tchaikovsky,"October 20,1958"
A1815,giuseppe verdi,"October 27,1958"
A1618,franz schubert,"November 10,1958"
A2427,johann sebastian bach,"November 10,1958"
A3004,ludwig van beethoven,"November 10,1958"
A1790,giacomo puccini,"November 17,1958"
A2427,johann sebastian bach,"December 1,1958"
A2427,johann sebastian bach,"December 8,1958"
A3004,ludwig van beethoven,"December 8,1958"
A3932,pyotr ilyich tchaikovsky,"December 8,1958"
A3004,ludwig van beethoven,"December 15,1958"
A2427,johann sebastian bach,"December 15,1958"
A3932,pyotr ilyich tchaikovsky,"December 29,1958"
A2427,johann sebastian bach,"January 5,1959"
A5418,wolfgang amadeus mozart,"January 19,1959"
A3932,pyotr ilyich tchaikovsky,"January 26,1959"
A5418,wolfgang amadeus mozart,"February 16,1959"
A3004,ludwig van beethoven,"March 2,1959"
A3932,pyotr ilyich tchaikovsky,"March 2,1959"
A1790,giacomo puccini,"March 9,1959"
A1326,edward elgar,"March 16,1959"
A1790,giacomo puccini,"March 16,1959"
A1326,edward elgar,"March 23,1959"
A3004,ludwig van beethoven,"March 30,1959"
A1815,giuseppe verdi,"April 6,1959"
A2427,johann sebastian bach,"April 6,1959"
A3932,pyotr ilyich tchaikovsky,"April 13,1959"
A2427,johann sebastian bach,"April 20,1959"
A5418,wolfgang amadeus mozart,"April 20,1959"
A2427,johann sebastian bach,"April 27,1959"
A5418,wolfgang amadeus mozart,"April 27,1959"
A1790,giacomo puccini,"May 4,1959"
A3932,pyotr ilyich tchaikovsky,"May 4,1959"
A1618,franz schubert,"May 18,1959"
A2427,johann sebastian bach,"May 18,1959"
A5418,wolfgang amadeus mozart,"May 18,1959"
A3932,pyotr ilyich tchaikovsky,"May 25,1959"
A5418,wolfgang amadeus mozart,"May 25,1959"
A1326,edward elgar,"June 1,1959"
A1815,giuseppe verdi,"June 15,1959"
A2427,johann sebastian bach,"June 15,1959"
A3004,ludwig van beethoven,"June 22,1959"
A1618,franz schubert,"June 29,1959"
A3004,ludwig van beethoven,"June 29,1959"
A3932,pyotr ilyich tchaikovsky,"July 6,1959"
A5418,wolfgang amadeus mozart,"July 6,1959"
A3004,ludwig van beethoven,"July 20,1959"
A1326,edward elgar,"July 27,1959"
A1790,giacomo puccini,"July 27,1959"
A3932,pyotr ilyich tchaikovsky,"August 3,1959"
A2427,johann sebastian bach,"August 10,1959"
A3004,ludwig van beethoven,"August 10,1959"
A5418,wolfgang amadeus mozart,"August 10,1959"
A1815,giuseppe verdi,"August 24,1959"
A5418,wolfgang amadeus mozart,"August 24,1959"
A1326,edward elgar,"August 31,1959"
A2427,johann sebastian bach,"August 31,1959"
A1326,edward elgar,"October 5,1959"
A2427,johann sebastian bach,"October 12,1959"
A3004,ludwig van beethoven,"October 12,1959"
A1326,edward elgar,"October 19,1959"
A1326,edward elgar,"October 26,1959"
A1618,franz schubert,"October 26,1959"
A2427,johann sebastian bach,"October 26,1959"
A1326,edward elgar,"November 2,1959"
A2427,johann sebastian bach,"November 9,1959"
A3004,ludwig van beethoven,"November 9,1959"
A5418,wolfgang amadeus mozart,"November 9,1959"
A1790,giacomo puccini,"November 23,1959"
A3932,pyotr ilyich tchaikovsky,"December 7,1959"
A1618,franz schubert,"December 14,1959"
A2427,johann sebastian bach,"December 14,1959"
A3004,ludwig van beethoven,"December 14,1959"
A3932,pyotr ilyich tchaikovsky,"December 14,1959"
A5418,wolfgang amadeus mozart,"December 14,1959"
A3932,pyotr ilyich tchaikovsky,"December 21,1959"
A3004,ludwig van beethoven,"December 28,1959"
A1618,franz schubert,"January 11,1960"
A2427,johann sebastian bach,"January 11,1960"
A1326,edward elgar,"February 1,1960"
A1815,giuseppe verdi,"February 1,1960"
A1790,giacomo puccini,"February 15,1960"
A2427,johann sebastian bach,"February 15,1960"
A5418,wolfgang amadeus mozart,"February 15,1960"
A1326,edward elgar,"February 22,1960"
A2427,johann sebastian bach,"February 22,1960"
A5418,wolfgang amadeus mozart,"February 22,1960"
A3932,pyotr ilyich tchaikovsky,"March 5,1960"
A5418,wolfgang amadeus mozart,"March 7,1960"
A1326,edward elgar,"March 14,1960"
A3932,pyotr ilyich tchaikovsky,"March 21,1960"
A5418,wolfgang amadeus mozart,"March 28,1960"
A1815,giuseppe verdi,"April 11,1960"
A3004,ludwig van beethoven,"April 11,1960"
A3932,pyotr ilyich tchaikovsky,"April 25,1960"
A1790,giacomo puccini,"May 2,1960"
